epoch,epoch_time_s,lr,train_gen_AR,train_gen_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
1,5.750096797943115,0.001,0.7848633858892653,0.9326051857736376,1.7174685769610936,,,,,
2,3.970381736755371,0.000999321619703514,0.6183650864495172,0.6601811402373844,1.27854622470008,0.3509031359729934,0.9373729816993056,0.32797027679918517,0.531104511765892,0.30503741762537695
3,4.765474081039429,0.0009972883382072953,0.5687644978364309,0.5938428852293226,1.1626073824034797,,,,,
4,4.771009206771851,0.0009939057285945933,0.5571247193548414,0.5714392681916555,1.1285639935069613,0.3686271744213538,0.9257743834611116,0.2999900251709449,0.5085848112676672,0.23135287592053608
5,4.589935779571533,0.000989183062363234,0.54461763103803,0.5644794815116458,1.1090971218215095,,,,,
6,4.387082099914551,0.0009831332840130888,0.5349822527832455,0.5499954647488065,1.0849777181943259,0.3781291160840916,0.9355688504263582,0.3603225761072376,0.5520713342136111,0.34251603613038356
7,4.657284498214722,0.0009757729755661012,0.5310665249824524,0.5436430513858795,1.0747095677587721,,,,,
8,4.720446348190308,0.0009671223111161149,0.530013272497389,0.5506532178984748,1.0806664903958638,0.38663603881873193,0.9405512618992348,0.3608368022249028,0.5540749554496801,0.3350375656310736
9,4.689490556716919,0.0009572050015330875,0.5293854190243615,0.5615829010804494,1.0909683201048108,,,,,
10,4.7985005378723145,0.0009460482294732422,0.5200530661476983,0.5306728343168895,1.050725899802314,0.38858607290489633,0.9449055821528988,0.3626865859270787,0.5567595846690186,0.3367870989492611
11,4.770628929138184,0.0009336825748732973,0.5216420584254795,0.5381873137421078,1.0598293781280517,,,,,
12,4.791328191757202,0.000920141931132985,0.5188106165991889,0.5148234274652269,1.0336340506871542,0.39188934694084354,0.9397487557058438,0.370045923032031,0.5599468672566353,0.3482024991232184
13,4.7875916957855225,0.0009054634122155991,0.5201307972272237,0.5007281111346351,1.0208589050504897,,,,,
14,4.1016833782196045,0.0008896872509212008,0.5116770307223002,0.4969814449548721,1.0086584700478447,0.3963887589477179,0.9450846301515636,0.3736175223522071,0.5641065582853259,0.35084628575669624
15,4.356356382369995,0.0008728566886113103,0.5056303567356534,0.4868810806009505,0.9925114340252347,,,,,
16,4.76669454574585,0.0008550178566873412,0.498440291484197,0.47961486379305523,0.9780551539527045,0.39815419858561096,0.9380247419362693,0.36254402658616086,0.5543709317028637,0.32693385458671076
17,4.763900279998779,0.000836219650147635,0.49814985195795697,0.47310166160265604,0.9712515128983392,,,,,
18,4.7888476848602295,0.0008165135935696697,0.5064620885584089,0.5222795274522569,1.0287416179974873,0.388406960808201,0.9343117715682053,0.3662483929410426,0.5556028524834301,0.3440898250738843
19,4.752177476882935,0.0007959536998847743,0.4977264980475108,0.484528574678633,0.9822550707393223,,,,,
20,4.748788833618164,0.0007745963223324385,0.49403890371322634,0.4727760891119639,0.9668149802419874,0.4050765495806703,0.9446561215447301,0.37429073424841697,0.5644125300138546,0.3435049189161636
21,4.263919830322266,0.0007525000000000001,0.49199594789081147,0.465567809343338,0.9575637605455186,,,,,
22,4.652833461761475,0.0007297252973710758,0.48761110372013516,0.46017393867174783,0.9477850397427877,0.40254613533365763,0.9397248671348939,0.37408865892722726,0.5626340616631161,0.3456311825207969
23,4.787512540817261,0.0007063346383225213,0.48749030629793805,0.4601779103279114,0.9476682212617662,,,,,
24,4.779156684875488,0.000682392135024924,0.4915763431125217,0.4796058456103007,0.9711821926964654,0.40782763385205945,0.9445915091383025,0.3738412115505262,0.5640913107464516,0.3398547892489929
25,4.787221193313599,0.0006579634122155991,0.49168978532155355,0.4828772670692868,0.9745670557022095,,,,,
26,3.954103469848633,0.0006331154273257479,0.48655354645517135,0.48795526623725893,0.9745088166660733,0.4059157493884812,0.9452511838752132,0.3753163388727696,0.5652946205402508,0.3447169283570581
27,4.556047201156616,0.0006079162869547909,0.48230498565567864,0.4593243095609877,0.9416293038262261,,,,,
28,4.361088752746582,0.0005824350601949144,0.48194925255245635,0.4501340991920895,0.9320833524068196,0.40657119475745634,0.941279229023877,0.37485124202793485,0.5636605710265822,0.34313128929841336
29,4.798120737075806,0.0005567415893174886,0.480557566218906,0.4659333672788408,0.9464909381336636,,,,,
30,4.7783122062683105,0.0005309062983402573,0.477491393354204,0.4460851546790865,0.9235765470398797,0.4089099983790793,0.9444117765175862,0.381360269472797,0.5690441051543934,0.35381054056651473
31,4.72365927696228,0.0005050000000000002,0.47280137472682526,0.4382793049017588,0.9110806730058458,,,,,
32,5.107563495635986,0.00047909370165974305,0.47190278503629896,0.4338621646165848,0.9057649453481038,0.41064155199668384,0.9426797621862173,0.3796438924148328,0.567322515671961,0.3486462328329818
33,5.38446569442749,0.00045325841068251176,0.47007615566253663,0.4327355533838272,0.9028117140134175,,,,,
34,4.963271141052246,0.0004275649398050859,0.4675643351342943,0.4304229544268714,0.8979872875743442,0.41019106571614433,0.9465781763982145,0.37741515227486366,0.5671361603159806,0.34463923883358294
35,4.768339395523071,0.00040208371304520927,0.4665071878168318,0.4264025121927261,0.8929097029897902,,,,,
36,4.777585029602051,0.00037688457267425244,0.46303215291765,0.4251509298880895,0.8881830864482456,0.4102924905439216,0.9445985330501383,0.3779004464871353,0.566799808674803,0.345508402430349
37,4.390392780303955,0.0003520365877844012,0.4630779564380646,0.42405013773176403,0.8871280935075548,,,,,
38,4.300890922546387,0.0003276078649750765,0.4625357608000437,0.42285486823982665,0.8853906273841858,0.4112342282061815,0.942599701767188,0.37728686415534063,0.565724476692623,0.3433395001044997
39,4.7719566822052,0.0003036653616774791,0.4584779686397976,0.41924531526035735,0.8777232872115242,,,,,
40,4.593907594680786,0.00028027470262892445,0.4576267374886407,0.41708043615023294,0.8747071769502428,0.4131015190850975,0.9454887078024712,0.37757999602023234,0.5668828999476453,0.3420584729553672
41,4.76129674911499,0.0002575000000000002,0.4574831068515778,0.42066917849911584,0.8781522817081875,,,,,
42,4.747367858886719,0.0002354036776675618,0.4575034134917789,0.41804599199030135,0.8755494051509434,0.4115151180590654,0.9435282271508821,0.3792020760971495,0.5673107931150604,0.3468890341352337
43,4.778252363204956,0.0002140463001152259,0.4567342652214898,0.41816843880547416,0.8749027027024163,,,,,
44,4.80504298210144,0.0001934864064303306,0.4552915930747986,0.41305036412345036,0.8683419624964396,0.40932834385878053,0.941736236125767,0.37474627605896466,0.5637429294145654,0.3401642082591488
45,4.780759811401367,0.00017378034985236537,0.45355695022477044,0.4114660468366411,0.8650229983859592,,,,,
46,4.753465175628662,0.00015498214331265904,0.4522570080227322,0.4086512270900938,0.860908235443963,0.41116282196183546,0.9455433594038365,0.374743418686148,0.5650100655920441,0.33832401541046064
47,4.420015096664429,0.00013714331138868998,0.45193045735359194,0.40853426390224035,0.8604647292031182,,,,,
48,4.756704568862915,0.00012031274907879943,0.45172858436902363,0.4074779080020057,0.859206493695577,0.4120005824776236,0.9439167092965465,0.3745077956451756,0.5643107668622992,0.3370150088127276
49,4.113865613937378,0.00010453658778440108,0.44991935756471424,0.4069205558962292,0.8568399045202467,,,,,
50,4.620643854141235,8.985806886701516e-05,0.44970201651255287,0.4062240064144135,0.8559260209401448,0.41073645138729464,0.9435627997137578,0.3737650436260872,0.5636976289886441,0.3367936358648797
51,4.772114992141724,7.631742512670285e-05,0.44948238995340134,0.40388043191697864,0.8533628225326538,,,,,
52,4.7286975383758545,6.395177052675796e-05,0.4481497479809655,0.4036621130175061,0.8518118606673346,0.41194745176669334,0.9441689794747782,0.3752659730320513,0.5649003085129602,0.3385844942974092
53,4.1955320835113525,5.2794998466912526e-05,0.4479434417353736,0.4027882148822149,0.8507316523128086,,,,,
54,4.7165772914886475,4.287768888388514e-05,0.4480895909998152,0.40349950028790366,0.8515890916188558,0.41177249731141313,0.944137146942356,0.3743272327927092,0.5642638708425914,0.33688196827400524
55,4.741048097610474,3.4227024433899005e-05,0.44714714884757994,0.40272620254092745,0.8498733480771382,,,,,
56,4.772965908050537,2.6866715986911188e-05,0.44649453825420804,0.4023124353753196,0.8488069732983907,0.41172952494611514,0.9450012500922463,0.37514056954337716,0.5650941297263335,0.3385516141406392
57,4.771817922592163,2.0816937636766188e-05,0.4466759767797258,0.4017176330089569,0.848393612437778,,,,,
58,4.739017963409424,1.6094271405406862e-05,0.4467207484775119,0.40177083677715725,0.8484915799564785,0.41162612488238315,0.9443122806369917,0.3745716867376703,0.5644852180374441,0.33751724859295734
59,4.47532057762146,1.2711661792704668e-05,0.44613434937265184,0.4005204180876414,0.8466547674602932,,,,,
60,4.438107252120972,1.0678380296485954e-05,0.44626821014616225,0.40119601653681863,0.8474642263518439,0.4116028322326038,0.944423142276359,0.37471539630440587,0.564617978295057,0.33782796037620794
