epoch,epoch_time_s,lr,train_gen_AR,train_gen_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
1,5.132911682128906,0.001,0.8282450278600056,0.9663715971840753,1.7946166117986044,,,,,
2,3.684706449508667,0.000999321619703514,0.6072328766187032,0.8082972274886238,1.4155301014582315,0.33994423761769116,0.936787754778032,0.17446167262985657,0.4285703666792484,0.008979107642021972
3,3.927682876586914,0.0009972883382072953,0.5635727458530002,0.5961811555756463,1.1597538948059083,,,,,
4,4.30399751663208,0.0009939057285945933,0.5423130724165175,0.5954877648088667,1.1378008484840394,0.38149404320619806,0.941613120631521,0.3580226523684804,0.5525528084561606,0.3345512615307628
5,3.7663798332214355,0.000989183062363234,0.5332248727480571,0.5640213145150079,1.0972461925612556,,,,,
6,4.35980224609375,0.0009831332840130888,0.5395460645357768,0.5490935107072195,1.0886395745807225,0.3868530962351477,0.943353014976283,0.36736186554132766,0.5593589153529794,0.3478706348475076
7,4.013519048690796,0.0009757729755661012,0.5247157427999708,0.5557220445738899,1.080437786049313,,,,,
8,3.328500747680664,0.0009671223111161149,0.5271288653214773,0.5803272684415182,1.1074561344252691,0.38132013858613484,0.935241654800235,0.36059248143415046,0.552142205889512,0.3398648242821661
9,4.3711159229278564,0.0009572050015330875,0.5183656752109528,0.5207683887746599,1.0391340533892313,,,,,
10,4.091307878494263,0.0009460482294732422,0.5202985889381833,0.5296913650300767,1.0499899559550816,0.3880614055446167,0.9362690362005758,0.34975014657656434,0.5452564431179016,0.31143888760851196
11,4.354910612106323,0.0009336825748732973,0.5162519348992242,0.5168387956089444,1.0330907331572639,,,,,
12,3.8131237030029297,0.000920141931132985,0.513159484995736,0.5399261381891038,1.0530856172243754,0.38934131941186506,0.9412603246708495,0.3663704156328965,0.5580003853122142,0.3433995118539279
13,4.102041721343994,0.0009054634122155991,0.511302078432507,0.5380472216341231,1.0493492987420825,,,,,
14,3.300811290740967,0.0008896872509212008,0.503790737522973,0.5041673329141405,1.0079580783843993,0.3990942479852797,0.9449079171181567,0.3793107372330986,0.567843130528118,0.35952722648091756
15,3.8671817779541016,0.0008728566886113103,0.5035472889741262,0.4936683694521586,0.9972156551149156,,,,,
16,4.412245988845825,0.0008550178566873412,0.5075289600425297,0.4913657867246204,0.9988947484228347,0.39227763524504183,0.9372627228115546,0.36523435859395814,0.5559104799998237,0.3381910819428745
17,3.9194860458374023,0.000836219650147635,0.5022015478875902,0.4886086636119419,0.9908102114995321,,,,,
18,4.430646181106567,0.0008165135935696697,0.4970940265390608,0.4839252485169305,0.9810192704200744,0.40066383430695696,0.9400450839933836,0.3782657229604347,0.5655255099714177,0.35586761161391245
19,3.6140520572662354,0.0007959536998847743,0.49364089369773867,0.4811255607340071,0.9747664504581027,,,,,
20,3.677891731262207,0.0007745963223324385,0.4956251197391086,0.47171068721347387,0.9673358016543918,0.4070465958826665,0.9447793022137234,0.38689363840695024,0.5728555263425413,0.366740680931234
21,3.9480245113372803,0.0007525000000000001,0.49202883839607237,0.4704112582736545,0.962440099981096,,,,,
22,3.6063435077667236,0.0007297252973710758,0.48939028978347776,0.470246254073249,0.9596365425321791,0.4035196101847502,0.9420321073371525,0.3787155381065323,0.5664877278500723,0.3539114660283144
23,4.06019401550293,0.0007063346383225213,0.48829548557599384,0.4639025098747677,0.9521979967753093,,,,,
