name,arch,mode,seed,encoder,trainable_params,best_epoch,train_time_min,val_own_TC IoU,val_own_AR IoU,val_own_BG IoU,val_own_Mean IoU,val_own_Mean FG IoU,method,threshold,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU,test_sam_bbox,k,test,val_sam_TC IoU,val_sam_AR IoU,val_sam_BG IoU,val_sam_Mean IoU,val_sam_Mean FG IoU,real_prompts
mpg_sam_e2e_s0,mpg,sam,0,infused_mlp1,671138,26,27.369864292939504,0.3526111406937933,0.38476089195292706,0.949027633440522,0.5621332220290808,0.3686860163233602,mpg_sam_e2e,,,,,,,,,,0.3434637254394109,0.3958305612188552,0.9359744067102447,0.5584228977895036,0.36964714332913307,
mpg_sam_e2e_s1,mpg,sam,1,infused_mlp1,671138,14,25.803497882684074,0.3676526982531769,0.38926378590824684,0.9401589996228741,0.5656918279280992,0.3784582420807119,mpg_sam_e2e,,,,,,,,,,0.35902446524010084,0.3827673490989649,0.9301095021433948,0.5573004388274869,0.3708959071695329,
mpg_sam_e2e_s2,mpg,sam,2,infused_mlp1,671138,30,26.011980958779652,0.3432647641546974,0.36396168285168573,0.939994736459891,0.5490737278220914,0.3536132235031916,mpg_sam_e2e,,,,,,,,,,0.3428934463812492,0.4046930215397075,0.9430479670571134,0.5635448116593568,0.37379323396047837,
mpg_seg_s0,mpg,seg,0,infused_mlp1,671138,32,2.5423375725746156,0.3678846821225126,0.41099607386142667,0.9457542871859594,0.5748783477232996,0.3894403779919696,mpg_seg,,,,,,,,,,,,,,,
mpg_seg_s1,mpg,seg,1,infused_mlp1,671138,24,3.435601206620534,0.36865711755453434,0.4094894105946895,0.9449901416061182,0.5743788899184473,0.38907326407461196,mpg_seg,,,,,,,,,,,,,,,
mpg_seg_s2,mpg,seg,2,infused_mlp1,671138,30,5.228616305192312,0.3591391546465133,0.4090568798481986,0.9449953839368039,0.5710638061438386,0.3840980172473559,mpg_seg,,,,,,,,,,,,,,,
mpg_seg_smooth_s0,mpg,seg,0,infused_mlp1,671138,42,4.190726677576701,0.35920306697427895,0.4154177289808125,0.9466898739773605,0.5737702233108174,0.38731039797754574,mpg_seg_smooth,,,,,,,,,,,,,,,
mpg_seg_smooth_s1,mpg,seg,1,infused_mlp1,671138,26,4.232750642299652,0.37220945647370746,0.4120183681236932,0.9437390719905362,0.5759889655293122,0.3921139122987003,mpg_seg_smooth,,,,,,,,,,,,,,,
mpg_seg_smooth_s2,mpg,seg,2,infused_mlp1,671138,20,4.125298810005188,0.37000581351486883,0.4052358995432999,0.9438684521025776,0.5730367217202489,0.3876208565290844,mpg_seg_smooth,,,,,,,,,,,,,,,
mpg_twostage_s0,mpg,sam,0,infused_mlp1,671138,8,13.087635334332784,0.3624946933400334,0.4063403671775029,0.9417273414568438,0.5701874673247933,0.3844175302587681,mpg_twostage,,,,,,,,,,0.3628871838590509,0.41050634628171073,0.9434926570252972,0.5722953957220196,0.3866967650703808,
mpg_twostage_s1,mpg,sam,1,infused_mlp1,671138,2,10.246682870388032,0.3621000375453673,0.4021227911953485,0.9377698583940115,0.5673308957115758,0.3821114143703579,mpg_twostage,,,,,,,,,,0.3590794697846,0.40976523878208926,0.9413553600258585,0.5700666895308492,0.3844223542833446,
mpg_twostage_s2,mpg,sam,2,infused_mlp1,671138,2,13.81043160756429,0.355956678700361,0.4056281482495677,0.9405411620796402,0.567375329676523,0.3807924134749644,mpg_twostage,,,,,,,,,,0.3535948451718341,0.4101857459401282,0.9423176076384073,0.5686993995834565,0.38189029555598114,
msf_seg_s0,msf,seg,0,infused_mlp1,1406474,30,89.44080890019735,0.35958932052037534,0.4001981492407085,0.9482984717684653,0.5693619805098497,0.3798937348805419,msf_seg,,,,,,,,,,,,,,,
msf_seg_s1,msf,seg,1,infused_mlp1,1406474,42,92.71560073296229,0.35815781297180443,0.4051382118675318,0.9446384884818763,0.5693115044404041,0.3816480124196681,msf_seg,,,,,,,,,,,,,,,
msf_seg_s2,msf,seg,2,infused_mlp1,1406474,42,65.57531049251557,0.3602664940998658,0.40075841068742696,0.9434736155083472,0.56816617343188,0.3805124523936464,msf_seg,,,,,,,,,,,,,,,
msf_token_seg_s0,msf_token,seg,0,infused_mlp1,1415180,42,61.74757800102234,0.35181643520752365,0.39996984572230015,0.9459409831620075,0.5659090880306105,0.3758931404649119,msf_token_seg,,,,,,,,,,,,,,,
msf_token_seg_s1,msf_token,seg,1,infused_mlp1,1415180,34,38.38821144898733,0.35466919027828053,0.398225753444288,0.9478436025620184,0.5669128487615289,0.37644747186128424,msf_token_seg,,,,,,,,,,,,,,,
msf_token_seg_s2,msf_token,seg,2,infused_mlp1,1415180,42,37.88177489042282,0.3420839942430621,0.3998107205518418,0.9427779124993918,0.5615575424314319,0.37094735739745194,msf_token_seg,,,,,,,,,,,,,,,
robust_decoder_box_s0,,box,0,,1210656,20,25.48858721256256,,,,,,robust_decoder_box,,0.3620782923038614,0.39500807293583506,0.9478456307048742,0.5683106653148569,0.3785431826198482,,,,,,,,,True
robust_decoder_hybrid_gtonly_s0,,hybrid,0,,1210656,0,15.67105640967687,,,,,,robust_decoder_hybrid_gtonly,,0.37440419864718044,0.3999343070505621,0.9511928865498247,0.5751771307491891,0.38716925284887127,,,,,,,,,False
robust_decoder_hybrid_gtonly_s0,,hybrid,0,,1210656,0,14.380867977937063,,,,,,robust_decoder_hybrid_gtonly,,0.37440419864718044,0.3999343070505621,0.9511928865498247,0.5751771307491891,0.38716925284887127,,,,,,,,,False
robust_decoder_hybrid_s0,,hybrid,0,,1210656,1,14.051568806171417,,,,,,robust_decoder_hybrid,,0.37386794984011645,0.40594520183939947,0.9490659808936754,0.5762930441910638,0.38990657583975796,,,,,,,,,True
robust_decoder_hybrid_s1,,hybrid,1,,1210656,15,14.301971594492594,,,,,,robust_decoder_hybrid,,0.37388577015124774,0.4064122221508121,0.94891643601328,0.5764048094384466,0.39014899615102994,,,,,,,,,True
