epoch,train_loss,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU
1,1.8239176564746433,,,,,
2,1.3713022523456149,0.01741577448555359,0.3063856389034245,0.9126802876585455,0.4121605670158412,0.16190070669448905
3,1.2227014197243584,,,,,
4,1.1346359027756585,0.032874648862109675,0.2720467909836492,0.9103385573610864,0.4050866657356151,0.15246071992287943
5,1.0419503940476311,,,,,
6,0.9668806221750047,0.04902179923061539,0.2833482023459493,0.8938344525615122,0.4087348180460257,0.16618500078828236
7,0.8981287307209439,,,,,
8,0.8440944671630859,0.02677746202315619,0.2684822242958141,0.8638632764056592,0.3863743209082098,0.14762984315948513
9,0.7844262917836508,,,,,
10,0.7495331313874987,0.055262246373357485,0.3060782323935411,0.8789957477911378,0.41344540885267883,0.18067023938344928
11,0.6728144566218058,,,,,
12,0.6386375175582037,0.05351197734393496,0.283130197409762,0.8734699212447248,0.40337069866614056,0.16832108737684848
13,0.578283531135983,,,,,
14,0.5445884943008423,0.06251717427755876,0.27223349903727684,0.8699384559947091,0.4015630431031816,0.1673753366574178
15,0.5200819757249621,,,,,
16,0.47997352679570515,0.04997706292345028,0.31514791628663946,0.8894004187287265,0.4181751326462721,0.18256248960504487
17,0.46503938701417713,,,,,
18,0.4463737726211548,0.06969011263110737,0.2990297823581483,0.8804042783154502,0.4163747244349019,0.18435994749462783
19,0.4227926009231143,,,,,
20,0.38294654885927837,0.04246519725145947,0.31113564545277506,0.8783944193639868,0.41066508735607377,0.17680042135211727
21,0.3716004113356272,,,,,
22,0.35191006660461427,0.051641700937523925,0.27784678219310566,0.8619441900993138,0.39714422440998115,0.16474424156531478
23,0.33777744703822665,,,,,
24,0.32005905045403377,0.05351944149073373,0.2987062873661845,0.8739846148486711,0.40873678123519647,0.1761128644284591
25,0.3079043315516578,,,,,
26,0.2961764613787333,0.07773115961128803,0.30700128388384784,0.8832623859079859,0.4226649431343739,0.19236622174756793
27,0.2933706521987915,,,,,
28,0.28302185932795204,0.060310107206751756,0.2953508057944981,0.8760407496573186,0.41056722088618947,0.1778304565006249
29,0.27275183200836184,,,,,
30,0.26244242621792685,0.061174346446571846,0.2868811988444394,0.8671629124712829,0.405072819254098,0.17402777264550562
31,0.25596877137819923,,,,,
32,0.24955826898415884,0.06969947625728584,0.28142303757857323,0.8654800248646441,0.4055341795668344,0.17556125691792954
33,0.24714239239692687,,,,,
34,0.23050624032815298,0.07683467586608343,0.2804579238350543,0.8682647862288929,0.40851912864334355,0.17864629985056887
35,0.2246485193570455,,,,,
36,0.21588116851117875,0.06258997051918054,0.26881052499770675,0.8584883554681818,0.396629616995023,0.16570024775844364
37,0.21670599149333106,,,,,
38,0.21205190618832906,0.07347298037370097,0.2859863533894748,0.8691205498198314,0.4095266278610024,0.1797296668815879
39,0.20611825320455762,,,,,
40,0.19904398851924474,0.07727663402936162,0.2769163045092732,0.868137378233877,0.4074434389241706,0.1770964692693174
41,0.19549940096007454,,,,,
42,0.19289436671468946,0.08015806790521114,0.28224775064330754,0.8713945583461877,0.41126679229823543,0.18120290927425933
43,0.18910049613979127,,,,,
44,0.18597323497136434,0.08513042370602417,0.28573803037085566,0.87426392737973,0.41504412715220323,0.18543422703843992
45,0.18393436041143205,,,,,
46,0.1801869140730964,0.09561500443235497,0.27595041618761196,0.8681878001322866,0.41325107358408447,0.18578271030998347
47,0.17631612188286253,,,,,
48,0.17296479642391205,0.09303616585669001,0.2862095872017591,0.8756817128466665,0.41830915530170526,0.18962287652922455
49,0.1713302332493994,,,,,
50,0.16834728552235498,0.09365798898155661,0.2838177994535898,0.8735097619244125,0.41699518345318626,0.1887378942175732
51,0.16807545837428833,,,,,
52,0.16644271430042054,0.09982133515452449,0.27743212826402797,0.8703551023428568,0.4158695219204698,0.18862673170927624
53,0.16585901627937952,,,,,
54,0.16466113726298015,0.09362049903857483,0.28118549568450324,0.8719288668762085,0.4155782871997622,0.18740299736153904
55,0.16354576448599498,,,,,
56,0.16270070059431924,0.09395533590563719,0.2805336605384688,0.8724866750618864,0.4156585571686641,0.187244498222053
57,0.16090438647402658,,,,,
58,0.16247140533394283,0.09640792018796795,0.2765298906458805,0.8704838980717953,0.41447390296854786,0.18646890541692424
59,0.15974476635456086,,,,,
60,0.15905618535147772,0.09500127078759456,0.27573369418296334,0.8696274073111461,0.4134541240939013,0.18536748248527896
