name,arch,mode,seed,encoder,trainable_params,best_epoch,train_time_min,val_own_TC IoU,val_own_AR IoU,val_own_BG IoU,val_own_Mean IoU,val_own_Mean FG IoU,method,val_sam_TC IoU,val_sam_AR IoU,val_sam_BG IoU,val_sam_Mean IoU,val_sam_Mean FG IoU
logreg_l0_seg_s0,logreg_l0,seg,0,infused_mlp05,1538,48,3.100837993621826,0.17820088974351903,0.2825999355142764,0.9198395381669207,0.4602134544749054,0.2304004126288977,logreg_l0_seg,,,,,
logreg_l0_seg_s1,logreg_l0,seg,1,infused_mlp05,1538,36,2.9363658825556436,0.18087100436849296,0.2853029079172307,0.9270216253123493,0.464398512532691,0.23308695614286182,logreg_l0_seg,,,,,
logreg_l0_seg_s2,logreg_l0,seg,2,infused_mlp05,1538,38,2.774304123719533,0.1784162756284966,0.2844638346490539,0.92254229709447,0.46180746912400683,0.23144005513877525,logreg_l0_seg,,,,,
logreg_last_seg_s0,logreg_last,seg,0,infused_mlp05,1538,30,2.980248590310415,0.31526447925752094,0.37772573729824166,0.9434879608642041,0.5454927258066555,0.3464951082778813,logreg_last_seg,,,,,
logreg_last_seg_s1,logreg_last,seg,1,infused_mlp05,1538,40,3.0378136237462363,0.31519503168259133,0.37881947899395335,0.9407575166120022,0.5449240090961823,0.34700725533827237,logreg_last_seg,,,,,
logreg_last_seg_s2,logreg_last,seg,2,infused_mlp05,1538,46,2.948936625321706,0.31616003245614405,0.3793587798489451,0.9433828126749583,0.5463005416600158,0.3477594061525446,logreg_last_seg,,,,,
mpg_sam_e2e_s0,mpg,sam,0,infused_mlp05,671138,32,23.60556125243505,0.34204120272280575,0.3552864528300794,0.9508473127294087,0.549391656094098,0.34866382777644256,mpg_sam_e2e,0.34177531761645935,0.4039742330300346,0.9415070120061934,0.5624188542175624,0.372874775323247
mpg_sam_e2e_s1,mpg,sam,1,infused_mlp05,671138,50,14.909553897380828,0.35413863484874203,0.3776311074943294,0.9479978174529774,0.5599225199320162,0.3658848711715357,mpg_sam_e2e,0.3463525917306529,0.39312936150339994,0.936080567685673,0.5585208403065752,0.36974097661702643
mpg_sam_e2e_s2,mpg,sam,2,infused_mlp05,671138,36,16.974376249313355,0.34719259391945806,0.3606312555378203,0.949196265604644,0.5523400383539742,0.3539119247286392,mpg_sam_e2e,0.3452664746535115,0.38703053666228016,0.9352444728567721,0.5558471613908545,0.3661485056578958
mpg_seg_s0,mpg,seg,0,infused_mlp05,671138,28,4.110069906711578,0.35865455015289205,0.4092392099558815,0.9423040503705148,0.5700659368264295,0.38394688005438676,mpg_seg,,,,,
mpg_seg_s1,mpg,seg,1,infused_mlp05,671138,28,5.122538193066915,0.3601993743040458,0.40850928473113773,0.9492946400055461,0.5726677663469099,0.38435432951759174,mpg_seg,,,,,
mpg_seg_s2,mpg,seg,2,infused_mlp05,671138,20,5.056356028715769,0.366740680931234,0.4070465958826665,0.9447793022137234,0.5728555263425413,0.38689363840695024,mpg_seg,,,,,
mpg_seg_smooth_s0,mpg,seg,0,infused_mlp05,671138,28,3.7513115922609965,0.3636522858531502,0.40982492613476446,0.9452968811698023,0.5729246977192389,0.3867386059939573,mpg_seg_smooth,,,,,
mpg_seg_smooth_s1,mpg,seg,1,infused_mlp05,671138,28,3.942105507850647,0.3609725328287172,0.4110288665094804,0.9473949596716971,0.5731321196699649,0.3860006996690988,mpg_seg_smooth,,,,,
mpg_seg_smooth_s2,mpg,seg,2,infused_mlp05,671138,42,2.2909618576367694,0.3628382279984059,0.4158623545204855,0.9472185947213583,0.5753063924134166,0.3893502912594457,mpg_seg_smooth,,,,,
mpg_twostage_s0,mpg,sam,0,infused_mlp05,671138,8,7.968208467960357,0.35032949535071894,0.4097034987294492,0.9431845873846881,0.5677391938216187,0.3800164970400841,mpg_twostage,0.35399610294385725,0.4100278758641896,0.9405819747483262,0.568201984518791,0.3820119894040234
mpg_twostage_s1,mpg,sam,1,infused_mlp05,671138,4,7.866444639364878,0.3487592685849237,0.4027002402463204,0.9390656837794609,0.5635083975369016,0.37572975441562206,mpg_twostage,0.34943337653947265,0.40269893996017514,0.9372026849185406,0.5631116671393962,0.3760661582498239
mpg_twostage_s2,mpg,sam,2,infused_mlp05,671138,16,8.158650394280752,0.3571149540679383,0.4057547107403713,0.9421645164008747,0.568344727069728,0.38143483240415477,mpg_twostage,0.3533870631830024,0.4000149665821465,0.9368764622413549,0.5634261640021679,0.37670101488257446
msf_seg_s0,msf,seg,0,infused_mlp05,1406474,42,35.497953391075136,0.3625894357535125,0.4003116083900997,0.9438993828026561,0.5689334756487561,0.3814505220718061,msf_seg,,,,,
msf_token_seg_s0,msf_token,seg,0,infused_mlp05,1415180,32,37.90059178272883,0.36220721290159463,0.3962622520283262,0.9418407022788564,0.566770055736259,0.3792347324649604,msf_token_seg,,,,,
