epoch,train_loss,lr,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU
0,,,0.35702208433360183,0.3935000988132363,0.9427659199147085,0.5644293676871822,0.375261091573419
1,0.5242327341326962,0.00029882903314519993,0.35757734830798416,0.3853837081364331,0.9395041433265661,0.5608217332569945,0.3714805282222086
2,0.46229749200836073,0.0002953345994276017,0.36163411534574663,0.3909305874965758,0.9456749018025268,0.5660798682149497,0.3762823514211612
3,0.4509254874754204,0.00028957180815440534,0.35264562114159964,0.391962370490838,0.9449184545972605,0.5631754820765661,0.3723039958162188
4,0.4248642408165466,0.00028163154198651373,0.3544266746888034,0.38813987950387563,0.9398563611810224,0.5608076384579005,0.3712832770963395
5,0.4306230659964223,0.0002716390236646797,0.34863979809865914,0.3945939798500805,0.944511465700405,0.5625817478830483,0.37161688897436984
6,0.431831929671247,0.0002597518411720796,0.3567191960302175,0.3948435108157848,0.9432739372039949,0.5649455480166657,0.3757813534230011
7,0.4317412866297223,0.0002461574624776804,0.3600633278330286,0.39011480763420664,0.9493715708195469,0.5665165687622608,0.3750890677336176
8,0.42868125524986467,0.00023107027905438094,0.36066491171519643,0.3969681190927151,0.946733454617944,0.5681221618086185,0.3788165154039558
9,0.42150452327475973,0.00021472822479741324,0.3598390355922637,0.39643415585820696,0.9448611485273218,0.5670447799925975,0.37813659572523534
10,0.44278675914829607,0.00019738902366467964,0.3595865010198405,0.39486337240476616,0.9479032436084582,0.5674510390110217,0.37722493671230334
11,0.4211161799203164,0.00017932612521598008,0.3598451694043866,0.3924678741487949,0.9493506855492164,0.5672212430341327,0.37615652177659076
12,0.4063216083516521,0.000160824392150103,0.35625730714134657,0.3969018895269446,0.9473783129572435,0.5668458365418448,0.37657959833414556
13,0.4244853903458907,0.00014217560784989694,0.3587223891438571,0.3980064692460796,0.9473670789291012,0.5680319791063461,0.3783644291949684
14,0.4142960467414251,0.0001236738747840199,0.3577231633384667,0.3972650150195829,0.946834218100702,0.5672741321529172,0.3774940891790248
15,0.4259143119359046,0.00010561097633532034,0.36034084857092136,0.3948304410404145,0.9487366355820833,0.5679693083978065,0.3775856448056679
16,0.40430921643305273,8.82717752025867e-05,0.3604663934030112,0.393374961350799,0.9492355513504113,0.5676923020347405,0.3769206773769051
17,0.41375983665811383,7.192972094561895e-05,0.3598929646560375,0.3939005136710549,0.949224949950815,0.5676728094259691,0.37689673916354616
18,0.41556635788751406,5.684253752231956e-05,0.3579262436060667,0.39848561791423337,0.9455147101603721,0.5673088572268907,0.37820593076015
19,0.4112045151026792,4.324815882792041e-05,0.35778893218499314,0.3982358039948756,0.9461711463535093,0.567398627511126,0.3780123680899344
20,0.4070854836274283,3.1360976335320314e-05,0.3602464694796086,0.39595848677107826,0.9483979589004474,0.5682009717170448,0.3781024781253434
21,0.41307763237510703,2.1368458013486254e-05,0.3591075794621027,0.3982755909694934,0.9467627212661232,0.5680486305659064,0.37869158521579804
22,0.4147367270741685,1.3428191845594673e-05,0.3589769974489249,0.39881861207383157,0.9466968377453162,0.5681641490893575,0.37889780476137824
23,0.39810545690052523,7.6654005723983e-06,0.35965048476693234,0.39748413604565846,0.9477961551094018,0.5683102586406642,0.37856731040629543
24,0.4176359258379256,4.170966854800051e-06,0.3600536424987022,0.39664942475284976,0.9481876071916854,0.5682968914810792,0.378351533625776
25,0.4072670482706141,2.9999999999999997e-06,0.3599260204521547,0.39781820558392683,0.9476479638422086,0.5684640632927634,0.3788721130180408
