checkpoint,thesis_row,adapter,mlp_ratio,prompt,seed,path,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU,thesis TC IoU,thesis AR IoU
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,bbox,0,original,0.7327,0.4388,0.9585,0.71,0.5857,0.6987,0.4446
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,bbox,0,fixed,0.7212,0.5564,0.9611,0.7462,0.6388,0.6987,0.4446
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,point,0,original,0.3941,0.3137,0.9349,0.5476,0.3539,0.3308,0.3134
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,point,0,fixed,0.5204,0.44,0.9531,0.6378,0.4802,0.3308,0.3134
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,random,0,original,0.5407,0.3492,0.9444,0.6114,0.4449,0.4468,0.3605
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,random,0,fixed,0.6432,0.4922,0.9564,0.6973,0.5677,0.4468,0.3605
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,random,1,original,0.5126,0.3567,0.9447,0.6047,0.4347,0.4468,0.3605
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,random,1,fixed,0.6189,0.4859,0.9558,0.6869,0.5524,0.4468,0.3605
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,random,2,original,0.5172,0.3636,0.9456,0.6088,0.4404,0.4468,0.3605
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,random,2,fixed,0.6061,0.4957,0.9568,0.6862,0.5509,0.4468,0.3605
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,bbox,0,original,0.7383,0.6477,0.972,0.786,0.693,0.7244,0.6448
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,bbox,0,fixed,0.7405,0.6499,0.9727,0.7877,0.6952,0.7244,0.6448
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,point,0,original,0.5259,0.4698,0.9578,0.6512,0.4979,0.5256,0.4685
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,point,0,fixed,0.5333,0.4856,0.9577,0.6589,0.5094,0.5256,0.4685
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,0,original,0.6451,0.5564,0.9643,0.7219,0.6008,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,0,fixed,0.6531,0.5585,0.9641,0.7253,0.6058,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,1,original,0.6248,0.5537,0.9644,0.7143,0.5893,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,1,fixed,0.6347,0.56,0.9646,0.7198,0.5974,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,2,original,0.6115,0.556,0.9645,0.7107,0.5838,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_CORRECTED,"Infused Token, Linear, 0.5",linear,0.5,random,2,fixed,0.6207,0.5607,0.9646,0.7153,0.5907,0.6056,0.5362
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,bbox,0,original,0.7488,0.5356,0.9594,0.7479,0.6422,0.7332,0.5219
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,bbox,0,fixed,0.7478,0.6221,0.9697,0.7799,0.6849,0.7332,0.5219
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,point,0,original,0.4608,0.373,0.9431,0.5923,0.4169,0.476,0.3506
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,point,0,fixed,0.5313,0.4617,0.9556,0.6495,0.4965,0.476,0.3506
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,random,0,original,0.638,0.4387,0.9493,0.6753,0.5383,0.5718,0.4213
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,random,0,fixed,0.673,0.5284,0.9614,0.7209,0.6007,0.5718,0.4213
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,random,1,original,0.611,0.4404,0.9501,0.6671,0.5257,0.5718,0.4213
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,random,1,fixed,0.636,0.5292,0.9616,0.709,0.5826,0.5718,0.4213
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,random,2,original,0.5907,0.4471,0.9508,0.6629,0.5189,0.5718,0.4213
infused_token_vit_b_0.5_infused_token_vit_b_mlp05_nonlinear,"Infused Token, Nonlinear, 0.5",nonlinear,0.5,random,2,fixed,0.6174,0.5339,0.9617,0.7043,0.5757,0.5718,0.4213
infused_token_vit_b_0.5_retrain_infused_05_bbox,,linear,0.5,bbox,0,original,0.7523,0.6608,0.9741,0.7958,0.7066,,
infused_token_vit_b_0.5_retrain_infused_05_bbox,,linear,0.5,bbox,0,fixed,0.7572,0.6664,0.975,0.7996,0.7118,,
infused_token_vit_b_0.5_retrain_infused_05_bbox,,linear,0.5,point,0,original,0.3079,0.2371,0.9504,0.4985,0.2725,,
infused_token_vit_b_0.5_retrain_infused_05_bbox,,linear,0.5,point,0,fixed,0.3052,0.2386,0.9507,0.4981,0.2719,,
infused_token_vit_b_0.5_retrain_infused_05_bbox,,linear,0.5,random,0,original,0.5877,0.4619,0.9621,0.6705,0.5248,,
infused_token_vit_b_0.5_retrain_infused_05_bbox,,linear,0.5,random,0,fixed,0.5904,0.4643,0.9627,0.6725,0.5274,,
infused_token_vit_b_0.5_retrain_infused_05_bbox,,linear,0.5,random,1,original,0.5401,0.4396,0.9607,0.6468,0.4899,,
infused_token_vit_b_0.5_retrain_infused_05_bbox,,linear,0.5,random,1,fixed,0.543,0.4397,0.9611,0.648,0.4914,,
infused_token_vit_b_0.5_retrain_infused_05_bbox,,linear,0.5,random,2,original,0.4937,0.4419,0.9607,0.6321,0.4678,,
infused_token_vit_b_0.5_retrain_infused_05_bbox,,linear,0.5,random,2,fixed,0.4957,0.4425,0.9612,0.6331,0.4691,,
infused_token_vit_b_1.0_best_only_bbox,,linear,1.0,bbox,0,original,0.6512,0.5681,0.97,0.7298,0.6097,,
infused_token_vit_b_1.0_best_only_bbox,,linear,1.0,bbox,0,fixed,0.6649,0.5641,0.97,0.733,0.6145,,
infused_token_vit_b_1.0_best_only_bbox,,linear,1.0,point,0,original,0.4371,0.4278,0.9553,0.6067,0.4325,,
infused_token_vit_b_1.0_best_only_bbox,,linear,1.0,point,0,fixed,0.464,0.4159,0.9561,0.612,0.44,,
infused_token_vit_b_1.0_best_only_bbox,,linear,1.0,random,0,original,0.5502,0.4918,0.9625,0.6682,0.521,,
infused_token_vit_b_1.0_best_only_bbox,,linear,1.0,random,0,fixed,0.5723,0.486,0.963,0.6738,0.5291,,
infused_token_vit_b_1.0_best_only_bbox,,linear,1.0,random,1,original,0.5304,0.4936,0.9623,0.6621,0.512,,
infused_token_vit_b_1.0_best_only_bbox,,linear,1.0,random,1,fixed,0.5559,0.4859,0.9628,0.6682,0.5209,,
infused_token_vit_b_1.0_best_only_bbox,,linear,1.0,random,2,original,0.5288,0.4917,0.9624,0.661,0.5103,,
infused_token_vit_b_1.0_best_only_bbox,,linear,1.0,random,2,fixed,0.5477,0.4862,0.963,0.6656,0.517,,
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,"Infused Token, Linear, 1.0",linear,1.0,bbox,0,original,0.7303,0.6155,0.9676,0.7711,0.6729,0.7242,0.6323
