mlp,prompt,comparison,TC delta,TC lo,TC hi,TC p_gt0,AR delta,AR lo,AR hi,AR p_gt0,FG delta,FG lo,FG hi,FG p_gt0
1.0,bbox_s0,nonlinear: adapter applied vs. skipped,-0.01151391659290213,-0.021373850226759906,-0.0021763655171636942,0.009,0.1176268597596995,0.09735475244046105,0.13677555601180663,1.0,0.05305647158339874,0.04220607604747942,0.0635791676567734,1.0
1.0,bbox_s0,"linear vs. nonlinear, as in the thesis",-0.002380409190500976,-0.010145235606606448,0.005440351907428875,0.2605,0.17665731878731689,0.1580667221370387,0.19335435095418446,1.0,0.08713845479840795,0.07713804425523466,0.09648589137870264,1.0
1.0,bbox_s0,"linear vs. nonlinear, adapter applied",0.014544260550174104,0.005818182450348761,0.023593243876735313,0.9985,0.06856482553887122,0.05579748567014433,0.08063968343278036,1.0,0.04155454304452261,0.035012455573675376,0.047910057667874234,1.0
1.0,point_s0,nonlinear: adapter applied vs. skipped,0.1262570835432117,0.10181288145778726,0.1500615161483107,1.0,0.12623365063457603,0.11357805445189695,0.13818755393631627,1.0,0.1262453670888939,0.11227557029869445,0.1398889701669012,1.0
1.0,point_s0,"linear vs. nonlinear, as in the thesis",0.13050846592546012,0.11097775252614601,0.15152744312028577,1.0,0.12837083048413955,0.11443293621623227,0.14209647384632387,1.0,0.1294396482047998,0.11841931014443662,0.14208030208882833,1.0
1.0,point_s0,"linear vs. nonlinear, adapter applied",0.01133938550333502,-0.004174985527596151,0.026531833570317458,0.931,0.0132232133995277,0.002630119401568419,0.02508278888514762,0.9955,0.01228129945143136,0.002647741615470061,0.022531975078650637,0.9915
1.0,random_s0,nonlinear: adapter applied vs. skipped,0.10251883336974155,0.06004917261841291,0.14371269033196687,1.0,0.14297409912726639,0.12809466738511066,0.15663160230873086,1.0,0.12274646624850402,0.09921647215155753,0.1454265957489016,1.0
1.0,random_s0,"linear vs. nonlinear, as in the thesis",0.10127988376849217,0.0626659380675052,0.13883665094722336,1.0,0.1717810168433756,0.15269475977986988,0.18959359707400814,1.0,0.1365304503059339,0.1149536422561099,0.15624916727762034,1.0
1.0,random_s0,"linear vs. nonlinear, adapter applied",0.014374498298769134,4.8558146494465225e-05,0.026306026721893198,0.975,0.03710574383032317,0.02453457408042651,0.04960284645357504,1.0,0.025740121064546095,0.01609017213466839,0.03422288137317921,1.0
0.5,bbox_s0,nonlinear: adapter applied vs. skipped,-0.001002402986843176,-0.007322892044793558,0.005385712100787217,0.3675,0.08650037270404709,0.07589737463221656,0.09802670599219554,1.0,0.04274898485860196,0.03642271397420839,0.04932108107978596,1.0
0.5,bbox_s0,"linear vs. nonlinear, as in the thesis",-0.010464162915412079,-0.017667085882715972,-0.002802343527702869,0.003,0.11213554079331833,0.09812119039583943,0.12776337537694962,1.0,0.05083568893895313,0.04342884130741056,0.05885722700793396,1.0
0.5,bbox_s0,"linear vs. nonlinear, adapter applied",-0.007264739598797143,-0.013658131520479067,-0.0003576988685963602,0.019,0.027789375368688085,0.01835225647484582,0.037383101590230956,1.0,0.010262317884945471,0.004292656287224574,0.016233539132317388,0.999
0.5,point_s0,nonlinear: adapter applied vs. skipped,0.07048882428810876,0.03778837352425332,0.1082530364342289,1.0,0.08867716468149167,0.0771000698946737,0.10057739538541614,1.0,0.07958299448480022,0.062039324535598996,0.09867945344438635,1.0
0.5,point_s0,"linear vs. nonlinear, as in the thesis",0.06507015788887549,0.028315555132857186,0.10746838926610744,1.0,0.0968197102489311,0.08310869367092015,0.11030759893739661,1.0,0.0809449340689033,0.06049735947000141,0.10325393126745272,1.0
0.5,point_s0,"linear vs. nonlinear, adapter applied",0.0019384385600792475,-0.01597301166576977,0.01814914494698158,0.578,0.02390783755117326,0.014917117299218479,0.03386147909917439,1.0,0.012923138055626227,0.0017420207976092555,0.023344841938230387,0.9905
0.5,random_s0,nonlinear: adapter applied vs. skipped,0.034926685439874205,0.012660204456137835,0.058158594965422174,1.0,0.08970920737504912,0.07722871169709213,0.10161502858444708,1.0,0.062317946407461716,0.04941168944699663,0.07496442586947245,1.0
0.5,random_s0,"linear vs. nonlinear, as in the thesis",0.007115350605156445,-0.02393322876415911,0.039443377976853135,0.644,0.11771724497405084,0.09844485379842868,0.1367551015675194,1.0,0.0624162977896037,0.04360193804544889,0.08124275421501205,1.0
0.5,random_s0,"linear vs. nonlinear, adapter applied",-0.019817741744908357,-0.03756486000455312,-0.00533672602027948,0.0015,0.030156360613839972,0.01766695634496869,0.04290646967585816,1.0,0.005169309434465863,-0.005064264731503787,0.014092721830866415,0.8565
