epoch,train_loss,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU
1,2.677076784769694,,,,,
2,2.044464471605089,0.0034913245873889123,0.11785101946675525,0.7420812738231092,0.2878078726257511,0.060671172027072076
3,1.7863640970653958,,,,,
4,1.651301826371087,0.04766643680125696,0.17774283727700121,0.8928020319755383,0.3727371020179322,0.11270463703912909
5,1.5441990852355958,,,,,
6,1.4888803031709459,0.14191791522463193,0.2586602452794077,0.9001837322222198,0.4335872975754198,0.2002890802520198
7,1.4305326249864367,,,,,
8,1.4034724712371827,0.18589587703032698,0.273969518671773,0.9143709317625688,0.45807877582155626,0.22993269785104997
9,1.3882608943515353,,,,,
10,1.3936949147118463,0.20798580243685613,0.27543673263853935,0.9068155170982657,0.463412684057887,0.24171126753769773
11,1.3629775921503702,,,,,
12,1.3622002734078302,0.17817636906372009,0.3038350200246435,0.9212334042093288,0.4677482644325641,0.2410056945441818
13,1.3416965087254842,,,,,
14,1.3401185618506537,0.22696893690912598,0.297884244885692,0.9242932611749758,0.4830488143232646,0.262426590897409
15,1.3310582425859239,,,,,
16,1.3323961046006945,0.21880912989703968,0.2835214948986999,0.901891732774265,0.4680741191900015,0.25116531239786977
17,1.320963242318895,,,,,
18,1.3204142782423232,0.22938815743152854,0.31831597124418193,0.9265525622589236,0.49141889697821134,0.27385206433785525
19,1.3246995396084256,,,,,
20,1.3148733456929524,0.23696338837042355,0.29136147034731813,0.9082941820681498,0.47887301359529716,0.26416242935887085
21,1.3128391875161065,,,,,
22,1.3135201374689738,0.19875314587312806,0.31333144106320254,0.9182050714970569,0.4767632194777958,0.2560422934681653
23,1.3021813604566785,,,,,
24,1.297491767671373,0.22579937971100464,0.32023285107619415,0.9307490222137607,0.49226041766698647,0.2730161153935994
25,1.295272832446628,,,,,
26,1.293614633878072,0.23894064529596548,0.30929726169145155,0.9211967716252537,0.4898115595375569,0.2741189534937085
27,1.2911420716179742,,,,,
28,1.2850730684068468,0.24778449591724833,0.29705336085472783,0.9098402896304351,0.4848927154674704,0.2724189283859881
29,1.285768485069275,,,,,
30,1.28433239724901,0.25142009442171837,0.3237762235674709,0.9284676904910308,0.5012213361600734,0.2875981589945946
31,1.2838141202926636,,,,,
32,1.282800653245714,0.2324864987093383,0.31839574697506695,0.92141953018531,0.4907672586232384,0.2754411228422026
33,1.2783001528845892,,,,,
34,1.2681509176890056,0.25562393772087216,0.3228759651826438,0.9262413421313945,0.5015804150116369,0.28924995145175797
35,1.2715860605239868,,,,,
36,1.2667551438013713,0.2475829586516978,0.3275602943688664,0.9309537584992482,0.5020323371732708,0.2875716265102821
37,1.2637610408994886,,,,,
38,1.2640249437756008,0.25079466208682766,0.3160499731618423,0.9204778848694289,0.4957741733726997,0.283422317624335
39,1.2675431039598253,,,,,
40,1.2659363587697348,0.25858231158584516,0.3227706542563754,0.9245213739833734,0.5019581132751979,0.29067648292111026
41,1.2637690941492716,,,,,
42,1.2631953848732842,0.26299363450961005,0.3179716830655889,0.9243949664269154,0.5017867613340381,0.2904826587875995
43,1.262128045823839,,,,,
44,1.2623767561382717,0.2562477218050594,0.3194352620528767,0.920340751006406,0.49867457828811396,0.287841491928968
45,1.2613068209754097,,,,,
46,1.2583880477481417,0.2534004099124278,0.33191812683307736,0.9359596581013421,0.5070927316156157,0.2926592683727526
47,1.262496164109972,,,,,
48,1.2602406395806207,0.25492475752511257,0.33085226821174674,0.9293595776486441,0.5050455344618344,0.29288851286842965
49,1.2557726012335884,,,,,
50,1.255343868997362,0.2454949368082267,0.32036993764206273,0.9221330742993776,0.495999316249889,0.2829324372251447
51,1.2577185074488322,,,,,
52,1.254645472102695,0.23438859032181883,0.32488900112923386,0.9220055053799299,0.49376103227699425,0.27963879572552636
53,1.2544514656066894,,,,,
54,1.2587517976760865,0.2475478748248482,0.33297045415400134,0.9293570977096509,0.5032918088961669,0.2902591644894248
55,1.2530729002422756,,,,,
56,1.2494159168667263,0.25434662163944805,0.33118504025838846,0.925738332294855,0.5037566647308972,0.2927658309489183
57,1.2533574395709568,,,,,
58,1.2520450645022922,0.251772871297088,0.3219103080078007,0.9239615008805375,0.4992148933951421,0.28684158965244433
59,1.2541619274351332,,,,,
60,1.2527652819951376,0.24414915359810022,0.3287310046003206,0.9257271092986641,0.49953575583236165,0.28644007909921043
