epoch,epoch_time_s,lr,train_gen_AR,train_gen_TC,train_sam_AR,train_sam_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU,val_sam_AR IoU,val_sam_BG IoU,val_sam_Mean FG IoU,val_sam_Mean IoU,val_sam_TC IoU
1,17.01236081123352,0.001,1.0047312021255492,0.9882684045367771,1.302225853337182,0.9213698678546481,3.220095502005683,,,,,,,,,,
2,32.89469885826111,0.000999321619703514,0.9143965482711792,0.9788010782665677,0.7749703261587355,0.9979338036643134,2.7195029576619465,0.019758689256905066,0.9430450032952644,0.01166845733519802,0.3221273059885535,0.0035782254134909762,0.31778836715389697,0.9154712865475009,0.1589128160757529,0.41109897289966885,3.726499760882932e-05
3,37.78924322128296,0.0009972883382072953,0.8754877673255073,0.9846888860066731,0.7024132980240716,1.0450354622470008,2.6775370730294124,,,,,,,,,,
4,10.596170425415039,0.0009939057285945933,0.8270757900344001,0.9871323373582628,0.7097145464685228,0.9119855854246351,2.5288041962517633,0.16446838174050285,0.9428634832493686,0.08223419087025143,0.3691106216632905,0.0,0.3315233181358761,0.9246467778777682,0.16576165906793805,0.4187233653378814,0.0
5,10.75168752670288,0.000989183062363234,0.7736530873510573,0.9835104333029853,0.702188773949941,0.912047995461358,2.4928185409969754,,,,,,,,,,
6,33.031413316726685,0.0009831332840130888,0.7159522851308187,0.9787355952792698,0.7043674906094869,1.0465498407681784,2.5982612768809,0.30191006160328443,0.9156868931584431,0.15343428293992817,0.40751848634609983,0.0049585042765718955,0.3504828974402882,0.9206501755883342,0.17671044548176748,0.4246903555172897,0.002937993523246771
7,42.6663122177124,0.0009757729755661012,0.6775973704126146,0.9769364171557956,0.6992334299617343,1.086507307158576,2.6130076196458605,,,,,,,,,,
8,45.16784119606018,0.0009671223111161149,0.6215109785397848,0.9747947427961562,0.6970497475730049,1.0872140566507975,2.5824166668785944,0.3287250780134817,0.9386921210308455,0.17416588956587337,0.4290079667208641,0.019606701118264996,0.3657191434952679,0.9297103493149926,0.1829395386946292,0.43186314223475036,0.00015993389399048392
9,44.78784894943237,0.0009572050015330875,0.6467249102062649,0.9677141865094503,0.6627528296576606,0.8710449722078112,2.3410173522101507,,,,,,,,,,
10,44.77772235870361,0.0009460482294732422,0.655264777607388,0.9562580254342821,0.6854823456870185,0.7193732659022013,2.210617025693258,0.3097560985116151,0.9434842632898301,0.2381788348311781,0.4732806443173954,0.1666015711507411,0.35269513408062586,0.9172581001441786,0.2742506933122894,0.48858649558958583,0.19580625254395295
11,40.313462257385254,0.0009336825748732973,0.6251476486523946,0.773022813267178,0.6578515940242343,0.686213943693373,2.043150785234239,,,,,,,,,,
12,28.413362979888916,0.000920141931132985,0.630875825881958,0.626364545027415,0.6426764792866178,0.6205099092589484,1.8918065786361695,0.3308472847519505,0.938521652768817,0.3263921135452379,0.5304352932864309,0.3219369423385252,0.3804172636732921,0.9308873301281351,0.35402154127189706,0.5463101375573097,0.327625818870502
13,26.991456985473633,0.0009054634122155991,0.618617492251926,0.6097216977013482,0.6216839326752557,0.6028023276064131,1.838655858569675,,,,,,,,,,
14,27.404518127441406,0.0008896872509212008,0.627814711464776,0.5807386762566037,0.6283173905478583,0.5762607044643826,1.8088547812567817,0.28977230362472317,0.9421947745095851,0.29207415893846683,0.5087810307955062,0.2943760142522105,0.37583385819366744,0.9256635286222891,0.3199785835232605,0.5218735652229367,0.26412330885285357
15,23.565922260284424,0.0008728566886113103,0.624375151263343,0.5624207662211524,0.5995161943965488,0.5675629436969757,1.7604770898818969,,,,,,,,,,
16,18.267839908599854,0.0008550178566873412,0.6116144021352132,0.5557558145787981,0.6113351225852967,0.5537755191326141,1.7487957583533393,0.34224973656480506,0.9383020903475852,0.34339157924780556,0.541695082947732,0.34453342193080605,0.3856815037709747,0.9324150322328035,0.3719948130386538,0.5588015527700371,0.3583081223063328
17,22.403278350830078,0.000836219650147635,0.6107058591312833,0.5463419808281793,0.5928500440385607,0.5427973449230195,1.7141713168885973,,,,,,,,,,
18,22.401956796646118,0.0008165135935696697,0.5979137897491456,0.5333920551670922,0.5942065238952636,0.5313724391990238,1.6912318838967217,0.3671402756305431,0.9391789021049508,0.33879242701386725,0.5389212520442285,0.3104445783971914,0.38951836229256853,0.9293397482968293,0.34065429829516936,0.536882781629056,0.29179023429777023
19,22.464877128601074,0.0007959536998847743,0.5962208297517565,0.5251205841700236,0.5849787334601084,0.522870640622245,1.6685200797186956,,,,,,,,,,
20,17.51388120651245,0.0007745963223324385,0.5953724953863356,0.5166694945759244,0.5881865276230707,0.5118358155091604,1.656043322881063,0.3518250423533036,0.9435129012106062,0.34219722415668363,0.5426357831746578,0.3325694059600636,0.36958183967249464,0.9255898274547023,0.34352675802978144,0.5375477811714218,0.31747167638706825
21,22.254519939422607,0.0007525000000000001,0.5975359572304619,0.5155272351370918,0.5710582256317138,0.515210422873497,1.642800251642863,,,,,,,,,,
22,22.060107231140137,0.0007297252973710758,0.5871866676542494,0.5163279427422418,0.5776767975754208,0.5127336800098419,1.6421677642398411,0.330343369145326,0.9482231588285559,0.3394228658902715,0.5423562968696997,0.34850236263521694,0.36345891136836306,0.9252342363532156,0.3500047557340231,0.5417479159404206,0.33655060009968313
23,20.70450758934021,0.0007063346383225213,0.5831108298566606,0.4985079699092441,0.5762621541817983,0.4975837720765008,1.6146553224987454,,,,,,,,,,
24,21.729565382003784,0.000682392135024924,0.5855639364984301,0.48827799492412144,0.5610149714681837,0.4909889343712065,1.5889248609542848,0.33414242055319004,0.9505535652156579,0.34354281714964957,0.5458797331716524,0.3529432137461091,0.39361844605159063,0.9387441192885689,0.36717833171447756,0.5577002609058413,0.34073821737736454
25,22.127046823501587,0.0006579634122155991,0.5720886780156029,0.4873763077788883,0.5556645605299207,0.4914945827590095,1.576891639497545,,,,,,,,,,
26,21.480350732803345,0.0006331154273257479,0.5773475766181946,0.47559259004063076,0.567734893825319,0.47551964587635465,1.569724620713128,0.37346290252236125,0.9440239624178723,0.36010165159507046,0.5547424218693378,0.3467404006677796,0.39487807950348874,0.9351241704983911,0.3663821814403149,0.5559628444596737,0.3378862833771411
27,21.820457220077515,0.0006079162869547909,0.5684975816143883,0.4802595297495524,0.5505180637041728,0.4792255918184916,1.5541222016016643,,,,,,,,,,
28,21.344569444656372,0.0005824350601949144,0.5646121389336056,0.4729603866736094,0.5406593428717719,0.47626233134004803,1.5357079346974691,0.37339733985092755,0.9459606084935165,0.35990734125531876,0.555258430334718,0.34641734265970997,0.38187815103913086,0.9298022825163129,0.3589759132484285,0.5492513696710567,0.33607367545772604
29,21.33718228340149,0.0005567415893174886,0.5575466553370158,0.45961379408836367,0.5436035414536794,0.4612680627240075,1.5134518252478706,,,,,,,,,,
30,16.827455520629883,0.0005309062983402573,0.5564589295122359,0.4547700550821092,0.5307020763556163,0.4561750968297323,1.49249165058136,0.35579612774552305,0.949642353481117,0.34466492664845383,0.5463240689260083,0.33353372555138455,0.37407717278918756,0.9313238675445613,0.3548740946610305,0.5470240189555408,0.3356710165328734
31,21.11260223388672,0.0005050000000000002,0.5524832407633463,0.4570126215616862,0.5309056672785017,0.46233536468611824,1.4979889657762315,,,,,,,,,,
32,21.018192529678345,0.00047909370165974305,0.5497784667544895,0.4444106201330821,0.5204580797089471,0.4483927415476905,1.465945349799262,0.3552864528300794,0.9508473127294087,0.34866382777644256,0.549391656094098,0.34204120272280575,0.4039742330300346,0.9415070120061934,0.372874775323247,0.5624188542175624,0.34177531761645935
33,22.858590602874756,0.00045325841068251176,0.5449723853005304,0.44258159895737964,0.5157021979490916,0.4458685103389952,1.4553477022382948,,,,,,,,,,
34,22.823526859283447,0.0004275649398050859,0.53893730574184,0.442384445004993,0.5145440730783675,0.4443019449710846,1.4495068788528442,0.37903963210652614,0.9470329300512601,0.3596262081983798,0.5554284488160066,0.3402127842902335,0.3917528579914716,0.9336371612378535,0.3616290500168932,0.55229842042388,0.33150524204231485
35,22.653635501861572,0.00040208371304520927,0.5326322535673778,0.4331804603338242,0.5106744620535109,0.43731484942966037,1.4308956649568345,,,,,,,,,,
36,22.872347593307495,0.00037688457267425244,0.5339098546240065,0.43135124776098466,0.5121065662966834,0.4361129813724094,1.4308500952190824,0.38396387779583147,0.9462060862449033,0.36133857982359796,0.5562944152973665,0.33871328185136446,0.39280148939522297,0.934083802925558,0.36254696526762387,0.5530592444869352,0.33229244114002476
37,19.624099254608154,0.0003520365877844012,0.5317580759525299,0.42887555559476215,0.512440660264757,0.4326329890224669,1.4253904501597086,,,,,,,,,,
38,20.658542156219482,0.0003276078649750765,0.5287147237194909,0.4274535205629137,0.4997392290168338,0.43066234489281974,1.4084857066472372,0.37941351636907944,0.9434007492222256,0.3557026906917354,0.5516020435352321,0.3319918650143913,0.37572516472213496,0.9274491781456623,0.35100643993683717,0.5431540193397789,0.32628771515153937
39,20.4141263961792,0.0003036653616774791,0.5278196831544241,0.42830396129025355,0.4984384649329715,0.42827507820394306,1.404775365193685,,,,,,,,,,
40,20.47621250152588,0.00028027470262892445,0.5282981163925595,0.4258597440189785,0.49469787147310046,0.4276918755637275,1.399468684196472,0.3722257599310771,0.9488410473055648,0.3543120012495399,0.5524883499348815,0.33639824256800266,0.38124978394386,0.9323097318245891,0.35259605457898824,0.5458339469941885,0.3239423252141165
41,17.625739574432373,0.0002575000000000002,0.5223946438895332,0.41944119499789345,0.4975359910064273,0.41781739128960504,1.3862713098526,,,,,,,,,,
42,17.823643922805786,0.0002354036776675618,0.5232424649927351,0.41411317752467264,0.4978454993830787,0.417387655377388,1.3839109871122572,0.3806746493724972,0.9486622174526139,0.3583919947531915,0.5551487356529989,0.3361093401338859,0.4009097446655245,0.9379587729155242,0.36686101044017916,0.5572269312652942,0.3328122762148338
43,17.577415704727173,0.0002140463001152259,0.5190368096033732,0.4203782558441162,0.4961132870780097,0.4177519016795688,1.3835727294286093,,,,,,,,,,
44,17.37130641937256,0.0001934864064303306,0.5246898233890533,0.41404927141136594,0.4842330641216702,0.4181836250755522,1.3717862447102864,0.3794628732911465,0.9478046235081622,0.35628861614455437,0.5534606185990903,0.33311435899796227,0.3978240246473742,0.9359753555632946,0.363524418582295,0.5543413975759616,0.3292248125172158
45,16.7135591506958,0.00017378034985236537,0.5179619471232096,0.4104659729533725,0.48337655928399825,0.41273824903700085,1.3603287643856472,,,,,,,,,,
46,17.674070119857788,0.00015498214331265904,0.5140676869286431,0.40916135476695165,0.4787545164426168,0.41197528110610115,1.3523443222045899,0.3792416610245477,0.9483592302929196,0.35646506307523373,0.5537631188144624,0.33368846512591976,0.3824167073265196,0.9319926124154337,0.3522437969444048,0.5454934021014144,0.3220708865622899
47,16.15102195739746,0.00013714331138868998,0.5159213377369775,0.40561951796213785,0.4787599199348026,0.4080575297276179,1.347587878174252,,,,,,,,,,
48,17.352404356002808,0.00012031274907879943,0.5136260688304901,0.40519106023841434,0.4738219810856713,0.4082556913296382,1.3414862394332885,0.37846427918424885,0.9477125936012519,0.3526702248525615,0.5510176811021249,0.3268761705208742,0.3906708127664632,0.9332466176846008,0.35578381358544764,0.5482714149518321,0.32089681440443213
49,17.19161820411682,0.00010453658778440108,0.5152716451221042,0.40539655884106957,0.4718353867530823,0.4087452895111508,1.3409147805637784,,,,,,,,,,
50,17.14902949333191,8.985806886701516e-05,0.507526691754659,0.4032929304573271,0.4749917917781406,0.4059464971224467,1.3363480965296428,0.37754644686910294,0.9482861984968789,0.3526027934806909,0.5511639284860869,0.3276591400922788,0.40334951468432634,0.9391114315412116,0.3632902320484233,0.5552306318793527,0.3232309494125203
51,17.313499450683594,7.631742512670285e-05,0.509068457947837,0.40174666113323637,0.4713346388604906,0.4054940445555581,1.3322362422943115,,,,,,,,,,
52,15.30854606628418,6.395177052675796e-05,0.5106772383054098,0.4013866331842211,0.46747408707936605,0.4046269910203086,1.3281330095397101,0.37807010939210833,0.947186977066717,0.3516182700223234,0.5501411723704546,0.32516643065253836,0.3982556563525649,0.9358153898672004,0.35959265438616106,0.5516668995465075,0.3209296524197572
53,15.296379327774048,5.2794998466912526e-05,0.5077862593862745,0.4012152198288176,0.4722920338312785,0.4046341849697961,1.3314269648657904,,,,,,,,,,
54,15.148024082183838,4.287768888388514e-05,0.5069190800189972,0.39972929192913903,0.4667653361956278,0.40327304038736556,1.3233625557687547,0.374856907270517,0.9484336481443981,0.3505605703356436,0.5498515962718952,0.3262642334007702,0.3888786672995721,0.9330756427356406,0.35303542181400477,0.5463821621212167,0.31719217632843744
55,15.119166612625122,3.4227024433899005e-05,0.5084039151668549,0.3996907399760352,0.4622670882278018,0.40277718669838375,1.319091596868303,,,,,,,,,,
