epoch,epoch_time_s,lr,train_deep_sup,train_gen_AR,train_gen_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
1,39.13632035255432,0.001,2.6137553588107783,0.7119687378958419,0.9173023707336849,4.243026453035849,,,,,
2,33.8441960811615,0.000999321619703514,2.1866567613901915,0.571555164511557,0.6269613850447867,3.385173315913589,0.36981678656510947,0.9387150414075611,0.34238267852951676,0.5411601328221982,0.314948570493924
3,35.16085696220398,0.0009972883382072953,2.07031439586922,0.5532735366512227,0.5884219403068224,3.2120098696814643,,,,,
4,35.38609719276428,0.0009939057285945933,2.110550745549025,0.559536574449804,0.5981136584723438,3.2682009710205926,0.372620930635461,0.9454568746697268,0.3375419006432868,0.5401802253187667,0.3024628706511126
5,42.61794137954712,0.000989183062363234,2.036921387027811,0.5415665274416959,0.5806934720388165,3.1591813891022293,,,,,
6,33.42697024345398,0.0009831332840130888,2.0203426129288142,0.5451458643432017,0.5666018403514668,3.1320903137878133,0.3624898589117238,0.9283132789623365,0.3505281876473011,0.5431232180856462,0.3385665163828783
7,34.30620360374451,0.0009757729755661012,1.974936529442116,0.527654886411296,0.5594147836996448,3.062006203775052,,,,,
8,35.482877254486084,0.0009671223111161149,1.9832691424422797,0.5273784857657221,0.5624625534371093,3.0731101718213822,0.3831300693546491,0.9469661440304281,0.36346004375857033,0.5579620771825229,0.34379001816249155
9,33.862895011901855,0.0009572050015330875,1.9789696360075915,0.5299162217864284,0.5548608249812215,3.0637466900878483,,,,,
10,33.348347187042236,0.0009460482294732422,1.9274723792517625,0.5194837290379736,0.5370505248782812,2.9840066320366327,0.3838247678832204,0.9478918129548177,0.3658418209370594,0.5598584849429789,0.3478588739908985
11,33.37303113937378,0.0009336825748732973,1.9238638610751542,0.5231150738067097,0.5343967069354322,2.9813756543177146,,,,,
12,33.381192684173584,0.000920141931132985,1.958360770234355,0.5228936703668701,0.550628207265227,3.031882643037372,0.39084593187904054,0.942596071069438,0.3726307192092154,0.5626191698292896,0.3544155065393903
13,33.36059284210205,0.0009054634122155991,1.9021740633028523,0.5176806584552481,0.5305969141009781,2.950451640950308,,,,,
14,33.3730788230896,0.0008896872509212008,1.8639252627337421,0.5113961315265408,0.5149645458492967,2.8902859473669973,0.3922077357355616,0.9418907501725162,0.37207631724308643,0.5620144615528964,0.3519448987506112
15,33.428454875946045,0.0008728566886113103,1.8717781846170074,0.5122867946823438,0.5163572507186069,2.900422231356303,,,,,
16,33.36640644073486,0.0008550178566873412,2.0337615840964847,0.5211286181101092,0.6075793357910932,3.162469539156666,0.3696503235843136,0.9243451639598189,0.3247646221067198,0.5246248027244195,0.279878920629126
17,33.40510630607605,0.000836219650147635,1.9385081668694815,0.522902173962858,0.5509875731197772,3.012397910047461,,,,,
18,33.42324662208557,0.0008165135935696697,1.8961655830895456,0.5139410327430125,0.530428074631426,2.940534685717688,0.3826581948847677,0.9329384451186791,0.3512715767928214,0.5451605329014406,0.3198849587008751
19,33.45128631591797,0.0007959536998847743,1.8696881033756116,0.5115369615731415,0.5177707154165815,2.898995770348443,,,,,
20,33.391796350479126,0.0007745963223324385,1.9199425458908081,0.5169605001255317,0.5381946285565693,2.975097672144572,0.3935572298371605,0.939750786141712,0.3621663557839702,0.5546944992365508,0.3307754817307799
21,33.3891236782074,0.0007525000000000001,1.8551879003092093,0.5126414593723085,0.5069755939421831,2.874804949318921,,,,,
22,33.43417477607727,0.0007297252973710758,1.8364493862346367,0.5066562481500484,0.5053097193163854,2.8484153473818745,0.39302453035085405,0.9434119825587371,0.3710340097838981,0.5618266673755111,0.3490434892169421
23,33.33540225028992,0.0007063346383225213,1.8206153540699572,0.507981071262448,0.4946412644176571,2.823237688453109,,,,,
24,33.415494203567505,0.000682392135024924,1.8331368973961586,0.5047792541759986,0.507098998322531,2.8450151518539144,0.39479524297120216,0.9432515845324988,0.3704092422039891,0.5613566896468257,0.34602324143677593
25,33.39455485343933,0.0006579634122155991,1.8011389624189447,0.500237048610493,0.4940704083966988,2.795446419715881,,,,,
26,33.46509647369385,0.0006331154273257479,1.7979418777757221,0.5018467372766248,0.4881758772664599,2.7879645025288617,0.3938563416927394,0.9409336135893874,0.36246296961365626,0.5552865176055667,0.3310695975345731
27,34.5932412147522,0.0006079162869547909,1.7907890838605387,0.4998014001934617,0.4892289707230197,2.779819445036076,,,,,
28,35.33214282989502,0.0005824350601949144,1.8036164019946699,0.5082182506720225,0.48371892581107434,2.7955535844520285,0.39362274953896015,0.9471462636428974,0.37255292455103906,0.5640840375816585,0.35148309956311796
29,35.366172552108765,0.0005567415893174886,1.7701738071662407,0.4978320785694652,0.47747770625132097,2.745483599106471,,,,,
30,35.37097477912903,0.0005309062983402573,1.7546630172817796,0.4967613633032198,0.47092543585156954,2.72234982141742,0.39685086858067525,0.9462057613611737,0.37079397804691544,0.5625979058183349,0.3447370875131556
31,35.490397214889526,0.0005050000000000002,1.743578956745289,0.4933050155087753,0.4682556909957418,2.7051396692240677,,,,,
32,35.36965870857239,0.00047909370165974305,1.7363315350479547,0.4938125299634757,0.46388716365176214,2.6940312292840747,0.3970455585682281,0.9432694195189306,0.3708208624956455,0.5616370481700739,0.3445961664230629
33,35.42440438270569,0.00045325841068251176,1.7389616359163216,0.4946970872305057,0.46478199802890974,2.6984407294679573,,,,,
34,35.45670795440674,0.0004275649398050859,1.7274042820488966,0.4918176078686008,0.4608098242431879,2.6800317252123795,0.3979262266459648,0.9404499610607966,0.3698483669457294,0.5600488983174184,0.3417705072454941
35,35.403459787368774,0.00040208371304520927,1.7141855438550313,0.4901228456585496,0.45574764045024363,2.6600560311917905,,,,,
36,35.37829923629761,0.00037688457267425244,1.705428296106833,0.4871479452208236,0.45485287180377376,2.647429114800912,0.3987206867884596,0.9457115566926112,0.37416921862334346,0.5646833313130993,0.3496177504582273
37,35.472540616989136,0.0003520365877844012,1.7095326243727296,0.48913308382034304,0.4548696308638211,2.65353533382769,,,,,
38,35.408592224121094,0.0003276078649750765,1.713528151644601,0.4893892018883317,0.45748779025894626,2.660405147075653,0.39787019289253317,0.941861875746937,0.3712269888960782,0.5614386178463645,0.34458378489962327
39,35.290154695510864,0.0003036653616774791,1.6948479919521895,0.4847294933818005,0.45102608508809844,2.6306035807839145,,,,,
40,33.83509945869446,0.00028027470262892445,1.6859551695761856,0.48443542536762024,0.44713139418098663,2.6175219882417604,0.3997578953307652,0.9443043034220938,0.37056124868150553,0.561808933595035,0.34136460203224583
41,33.3275990486145,0.0002575000000000002,1.6796373340818618,0.48367465574432295,0.443550416496065,2.6068624200644317,,,,,
42,33.28739309310913,0.0002354036776675618,1.681572938517288,0.4843576535582542,0.444831080444985,2.6107616654148806,0.400224533439278,0.9431382778948247,0.37153719605998775,0.5620708900049335,0.3428498586806975
43,33.34525752067566,0.0002140463001152259,1.680133995524159,0.48320586703441754,0.44498182343388043,2.608321691442419,,,,,
44,33.3220329284668,0.0001934864064303306,1.6683578014373779,0.4824524996457276,0.44106982997446154,2.5918801301055487,0.39953470693175375,0.941630159512321,0.36926818659388627,0.5600555109000313,0.3390016662560188
45,33.301756381988525,0.00017378034985236537,1.6703434238831203,0.48324515692613745,0.44086132053699756,2.5944499015808105,,,,,
46,33.29461908340454,0.00015498214331265904,1.6607200790334633,0.4815676158225095,0.435907321602658,2.578195019121523,0.39938648256597054,0.9440148280391741,0.3695015950120838,0.5610060060211138,0.3396167074581971
47,33.42138195037842,0.00013714331138868998,1.6568142947223452,0.4799966642150173,0.43408347166798733,2.5708944309640813,,,,,
48,35.29867100715637,0.00012031274907879943,1.653847623423294,0.47998864098831456,0.4321676777261827,2.5660039513199417,0.3985295991486479,0.9403317372233725,0.36756493574076365,0.5584872029016332,0.3366002723328794
49,34.40678429603577,0.00010453658778440108,1.6507433360373531,0.47903312709596424,0.4319763596687053,2.561752812950699,,,,,
50,33.38209676742554,8.985806886701516e-05,1.6503090064834665,0.479267440184399,0.4315307452170937,2.5611072006048983,0.39732042459759387,0.9392790098660898,0.3677297543390199,0.5582461728480431,0.33813908408044585
51,33.30964922904968,7.631742512670285e-05,1.6482318252325059,0.480819598281825,0.42772148014218714,2.556772904705118,,,,,
