epoch,epoch_time_s,lr,train_gen_AR,train_gen_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
1,4.39055609703064,0.001,0.9171087957090802,0.9799142181873322,1.8970230287975736,,,,,
2,3.4529638290405273,0.000999321619703514,0.6426851203044256,0.9091777784956826,1.551862895488739,0.32091949358148497,0.9413131020930993,0.16045974679074249,0.4207441985581948,0.0
3,3.456125259399414,0.0009972883382072953,0.6041002008650038,0.6671789810061455,1.27127918932173,,,,,
4,3.4241747856140137,0.0009939057285945933,0.5661840463678042,0.5740147795942094,1.140198826789856,0.3741061726852389,0.9362072340161202,0.3161961120316431,0.5228664860264688,0.2582860513780474
5,3.4694814682006836,0.000989183062363234,0.5427744165062904,0.555909637775686,1.0986840542819765,,,,,
6,3.429994821548462,0.0009831332840130888,0.546184611817201,0.5607600568069352,1.1069446620013978,0.3699874748232046,0.9336629578401319,0.34349596763305934,0.5402182977020835,0.31700446044291414
7,2.8509089946746826,0.0009757729755661012,0.5317500001854367,0.5271164137456152,1.0588664246930017,,,,,
8,3.429537296295166,0.0009671223111161149,0.5410412930779986,0.5164771270420816,1.0575184176365535,0.38729972064463425,0.9403027798006701,0.36746571100950615,0.5584114006065608,0.34763170137437804
9,3.4293434619903564,0.0009572050015330875,0.52658335533407,0.5160541559259096,1.0426375137435064,,,,,
10,2.8491034507751465,0.0009460482294732422,0.5195891319049729,0.4959416422579024,1.0155307865805097,0.36930468422535406,0.9271317086224169,0.3404546631751125,0.536013678324214,0.311604642124871
11,3.2690248489379883,0.0009336825748732973,0.5140150148007605,0.4880222545729743,1.0020372702015772,,,,,
12,3.455437660217285,0.000920141931132985,0.5203445868359672,0.4808473943008317,1.001191981964641,0.38016709770135737,0.93263100347159,0.34966386832023866,0.5439862467040224,0.31916063893911994
13,3.527561902999878,0.0009054634122155991,0.5126648296912512,0.47067538566059536,0.9833402153518465,,,,,
14,3.48937726020813,0.0008896872509212008,0.5079888668325212,0.48044302066167194,0.988431884182824,0.393299222913949,0.9447464207134199,0.37452840301881235,0.5646010755836816,0.3557575831236757
15,3.429211378097534,0.0008728566886113103,0.5008272470699416,0.46755246735281414,0.9683797160784403,,,,,
16,2.9446463584899902,0.0008550178566873412,0.5080545246601105,0.46342048048973083,0.9714750068055259,0.3936626523238195,0.9487632713638763,0.3722660945845079,0.5644318201776307,0.35086953684519634
17,3.359581232070923,0.000836219650147635,0.498598902589745,0.45033838351567584,0.9489372885889478,,,,,
18,3.449166774749756,0.0008165135935696697,0.48947203242116505,0.44407260831859374,0.9335446490181817,0.39981006889215226,0.9406731909819652,0.37837864082426687,0.5658101575434996,0.3569472127563814
19,3.4955391883850098,0.0007959536998847743,0.48964499516619575,0.43644354740778607,0.9260885483688779,,,,,
20,3.4413626194000244,0.0007745963223324385,0.48355743206209606,0.43019698808590573,0.9137544218036864,0.40243099972269963,0.9414409491503639,0.370007020469008,0.5604849966961266,0.33758304121531635
21,3.396074056625366,0.0007525000000000001,0.48176102423005635,0.4323248329261939,0.9140858550866445,,,,,
22,3.4045140743255615,0.0007297252973710758,0.49072041776445174,0.43159211302797,0.9223125312063429,0.40267034093084947,0.9456232518704384,0.3698470374709078,0.5617724422707514,0.33702373401096614
23,3.4023687839508057,0.0007063346383225213,0.4775708019733429,0.4292109538283613,0.9067817529042562,,,,,
24,2.822476387023926,0.000682392135024924,0.4793139547109604,0.424933812684483,0.9042477723624971,0.3883968805698822,0.9353164879385916,0.3600338517562628,0.5517947304837058,0.3316708229426434
