epoch,train_loss,lr,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU
0,,,0.37440419864718044,0.3999343070505621,0.9511928865498247,0.5751771307491891,0.38716925284887127
1,0.4096836712688366,0.00029882903314519993,0.37470071827613727,0.4043378683513593,0.9498367974597276,0.5762917946957414,0.3895192933137483
2,0.37352181904215037,0.0002953345994276017,0.3760474092831456,0.38621241015649455,0.9524406607416064,0.5715668267270821,0.3811299097198201
3,0.37039503797167045,0.00028957180815440534,0.37327014868994884,0.40210286838626375,0.9505946733100297,0.5753225634620808,0.38768650853810627
4,0.3745861560732163,0.00028163154198651373,0.3724064216849441,0.4068251204068696,0.9483864850268955,0.5758726757062363,0.38961577104590683
5,0.37230432303494254,0.0002716390236646797,0.37306576505928585,0.40308989445816695,0.9493135378388993,0.575156399118784,0.3880778297587264
6,0.3728998495567412,0.0002597518411720796,0.37305183554048543,0.4045037839857984,0.9495489438239866,0.5757015211167568,0.3887778097631419
7,0.3721834391071683,0.0002461574624776804,0.37358787420258954,0.39366236628400203,0.9516222908226079,0.5729575104363999,0.38362512024329576
8,0.36176296028510607,0.00023107027905438094,0.3705440021800964,0.40910022195054946,0.9474759730374768,0.5757067323893742,0.3898221120653229
9,0.35259671332344183,0.00021472822479741324,0.3701159349825217,0.40796139221994737,0.9485480844418617,0.5755418038814436,0.3890386636012345
10,0.3580482968868742,0.00019738902366467964,0.3739163452872743,0.39959898684935385,0.9507236675617545,0.5747463332327942,0.3867576660683141
11,0.36434146559848146,0.00017932612521598008,0.3739579162774145,0.39666323620539246,0.9510476812962253,0.5738896112596774,0.38531057624140347
12,0.369653831904986,0.000160824392150103,0.37251607845164403,0.40061642561369254,0.9504271566981589,0.5745198869211651,0.38656625203266826
13,0.327729499163451,0.00014217560784989694,0.37164491373396225,0.39511532966151586,0.9510031281728469,0.5725877905227751,0.38338012169773905
14,0.33461456120554495,0.0001236738747840199,0.3725132712557654,0.40503431400661427,0.9487769304676748,0.5754415052433515,0.38877379263118983
15,0.36757001342208684,0.00010561097633532034,0.37388577015124774,0.4064122221508121,0.94891643601328,0.5764048094384466,0.39014899615102994
16,0.35941525088100834,8.82717752025867e-05,0.3720319575735661,0.40585921632880145,0.9489718134439635,0.5756209957821103,0.38894558695118375
17,0.35396185816595793,7.192972094561895e-05,0.37271270288700004,0.405134178692976,0.9493824831017953,0.5757431215605905,0.38892344078998803
18,0.3322366663726148,5.684253752231956e-05,0.37173475357929514,0.4057642808192312,0.9490933435723958,0.575530792656974,0.3887495171992632
19,0.3519979188776521,4.324815882792041e-05,0.3722816103014504,0.40695476029709654,0.9485981037746061,0.575944824791051,0.3896181852992735
20,0.35662268080408616,3.1360976335320314e-05,0.3722111545195036,0.40405147820555426,0.949632798237684,0.5752984769875806,0.38813131636252896
21,0.33591121270543056,2.1368458013486254e-05,0.37101376013160375,0.4064132257601778,0.9487127116813043,0.5753798991910286,0.38871349294589075
22,0.36040651978396476,1.3428191845594673e-05,0.37097855515922473,0.4072407728281593,0.9481706696126326,0.5754633325333388,0.389109663993692
23,0.35949639459623056,7.6654005723983e-06,0.3717357711996823,0.406731565236891,0.948634385024171,0.5757005738202481,0.38923366821828664
24,0.3367670212107978,4.170966854800051e-06,0.3718447815758955,0.4060648622078481,0.9490011262596585,0.5756369233478007,0.3889548218918718
25,0.33894942188534644,2.9999999999999997e-06,0.3718245600417427,0.4061599588298961,0.9489590627404805,0.575647860537373,0.3889922594358194
