epoch,train_loss,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU
0,,0.34076190551361335,0.40090152149415176,0.9408390386540576,0.5608341552206076,0.37083171350388255
1,0.9330361498726739,0.3446401915984416,0.4070157714046558,0.9446998947204814,0.5654519525745263,0.3758279815015487
2,0.9082060217857361,0.3451720973902652,0.404751847977697,0.9460265344401873,0.5653168266027165,0.3749619726839811
3,0.9026683767636617,0.3459724572366768,0.40655376854838543,0.9449967769338588,0.565841000906307,0.3762631128925311
4,0.8947226749526129,0.34516360439706256,0.40641525070742746,0.9473458405771195,0.5663082318938698,0.375789427552245
5,0.8956677860683865,0.3451570990332048,0.40826003019551543,0.9467759201501432,0.5667310164596211,0.3767085646143601
6,0.8899088674121433,0.34347904209131974,0.40783862010116134,0.9450817762859971,0.565466479492826,0.37565883109624054
7,0.8870112829738193,0.3445204557311388,0.40780860122391693,0.9458264331425327,0.5660518300325296,0.3761645284775279
8,0.8869950705104404,0.3434517383779708,0.40393658214802514,0.9461530721033283,0.5645137975431082,0.37369416026299795
9,0.8806123852729797,0.3443212774341666,0.39683890306434805,0.9477904370334244,0.562983539177313,0.3705800902492573
10,0.8775881542099847,0.341167073980666,0.40346188935413835,0.947189714917394,0.5639395594173995,0.37231448166740216
11,0.8757234242227342,0.34184497504890077,0.40440643187824515,0.9445713688120926,0.5636075919130795,0.373125703463573
12,0.8740904172261555,0.3410092067837664,0.3974979059546065,0.9482335524011742,0.562246888379849,0.36925355636918644
13,0.8690083212322659,0.3408868767917684,0.4004544323910726,0.9476665180501256,0.5630026090776555,0.37067065459142046
14,0.8681445625093248,0.34224435212627086,0.3982737746593413,0.9498528940184491,0.563457006934687,0.37025906339280606
15,0.8631825301382277,0.34123068191925054,0.37041112507724977,0.9496323543962075,0.5537580537975693,0.35582090349825013
16,0.8576949238777161,0.33990606391008976,0.4013502482599314,0.9428453857978706,0.5613672326559639,0.37062815608501054
17,0.8547714630762736,0.33958266910543183,0.3963462487186742,0.9462778823793315,0.5607356000678125,0.367964458912053
18,0.8507994850476582,0.33876139188069593,0.3933734065229609,0.9465327412599525,0.5595558465545364,0.3660673992018284
19,0.8470940113067627,0.3393652595855416,0.4027233616641273,0.9455949445771432,0.5625611886089373,0.37104431062483445
20,0.8447276208135817,0.3395247154634358,0.399904404052206,0.94289388534851,0.5607743349547173,0.3697145597578209
21,0.8421264966328939,0.33989369283265003,0.39807064091602246,0.9459622189787277,0.5613088509091334,0.36898216687433627
22,0.8375794609387716,0.3412326766582374,0.38842813991183106,0.9480874686202709,0.5592494283967798,0.3648304082850342
23,0.8361791445149316,0.33979493345074,0.38874504224249645,0.9473128215085026,0.5586175990672464,0.36426998784661824
24,0.8337335546811422,0.34104873080735626,0.38984054929052425,0.9473912107055616,0.5594268302678141,0.3654446400489403
25,0.8314520809385512,0.3397233243967828,0.38827692102276523,0.9473263837610844,0.5584422097268774,0.364000122709774
26,0.8301800608634948,0.3403132924543504,0.38483040442382493,0.9480916002025908,0.557745099026922,0.36257184843908763
27,0.8286124931441413,0.3387814389824653,0.3877001575224611,0.9466973658692533,0.5577263207913933,0.36324079825246325
28,0.827612210644616,0.33891649974437843,0.38913441375483704,0.9463821669884537,0.5581443601625563,0.36402545674960773
29,0.8265580495198568,0.3391796631841047,0.38704398229561676,0.9469223900972932,0.5577153451923382,0.36311182273986076
30,0.8262524180942111,0.33946464417399486,0.3882840990986097,0.9465854415740113,0.558111394948872,0.3638743716363023
