epoch,epoch_time_s,lr,train_deep_sup,train_gen_AR,train_gen_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
1,59.470494985580444,0.001,1.2043210369569284,0.657961705327034,0.7152436771326595,2.577526412849073,,,,,
2,52.64268231391907,0.000999321619703514,0.9724493481494761,0.5633135053846571,0.6005979300925025,2.1363607828263884,0.36785081435003614,0.9319661640340939,0.3556778809576301,0.5477739753164513,0.34350494756522404
3,61.96504855155945,0.0009972883382072953,0.9342292354062752,0.5523470533666788,0.5851206390946,2.071696934655861,,,,,
4,67.16966128349304,0.0009939057285945933,0.9146372536818187,0.5403785933498982,0.578686715386532,2.0337025622526803,0.34331021708727727,0.9144601956504185,0.3397554188173382,0.5313236777616983,0.3362006205473991
5,69.02870988845825,0.000989183062363234,0.9048961239832418,0.5379718661308288,0.5628023878015853,2.0056703706582386,,,,,
6,79.5206151008606,0.0009831332840130888,0.9019210453386661,0.5344625676119769,0.5745001784215371,2.0108837882677713,0.37925747041411206,0.936721106655211,0.3461496271147475,0.5430067869615687,0.3130417838153829
7,72.8320939540863,0.0009757729755661012,0.9270765977877158,0.5465208716966488,0.572781852522382,2.0463793169569087,,,,,
8,69.28596711158752,0.0009671223111161149,0.8817696475320392,0.5342031213420408,0.5492093662420908,1.9651821352817394,0.3843199549715571,0.9412093365388402,0.35105904998454374,0.5477758121693093,0.31779814499753034
9,64.53016948699951,0.0009572050015330875,0.9113045093086031,0.5263548841079077,0.5680045794695616,2.005663972651517,,,,,
10,65.04824733734131,0.0009460482294732422,0.8885332476209712,0.5162491224430226,0.5594586358854065,1.964241002444868,0.38838014659382997,0.9386417629012594,0.3707821352656564,0.5600686778108575,0.3531841239374829
11,68.81232452392578,0.0009336825748732973,0.8798121407076165,0.5231376367034735,0.5448967463164418,1.9478465267905483,,,,,
12,69.16607356071472,0.000920141931132985,0.8592603588545764,0.5185633957937911,0.5335701210631265,1.9113938768704732,0.388872595731151,0.9391715418640602,0.3725980869062828,0.561455905225542,0.35632357808141457
13,79.57765054702759,0.0009054634122155991,0.8685981551806132,0.5142655146342737,0.5468849538652985,1.929748621251848,,,,,
14,92.92762207984924,0.0008896872509212008,0.8710271015211388,0.5124094072867323,0.5458564361764325,1.9292929413142028,0.3945820260774315,0.9454332674553481,0.3507630490728194,0.548986455200329,0.3069440720682074
15,87.52709197998047,0.0008728566886113103,0.8623082297819633,0.5124855754552063,0.5445837606710416,1.9193775678122484,,,,,
16,106.79471373558044,0.0008550178566873412,0.8558970164369655,0.5165500959312475,0.5242421265553545,1.896689242786831,0.39738241017768117,0.9433014188196882,0.3723761705608596,0.5626845866471358,0.347369930944038
17,111.6412763595581,0.000836219650147635,0.8376143954418325,0.5076573678740748,0.5056837780056177,1.8509555390587558,,,,,
18,102.51411485671997,0.0008165135935696697,0.8547385293024559,0.511661134439486,0.5064028322558712,1.8728024915412622,0.3953023002460396,0.943446584355217,0.35625554039252405,0.5519858883800883,0.3172087805390086
19,108.64650964736938,0.0007959536998847743,0.8532392324120911,0.5012213526500596,0.5094060138971717,1.8638666018291759,,,,,
20,106.97283935546875,0.0007745963223324385,0.838471672490791,0.5092291718831768,0.5018298491835594,1.8495306926744954,0.36127656632713306,0.9222436179556349,0.3515936716641258,0.5418103204279622,0.3419107770011186
21,104.027428150177,0.0007525000000000001,0.8574818470963724,0.5070935297343466,0.5229521310991712,1.8875275141663022,,,,,
22,105.27719163894653,0.0007297252973710758,0.8414609649667034,0.5082426228457028,0.5040248141520554,1.8537284045307725,0.3975231360868868,0.9469140660356514,0.37455772031524037,0.5653431688887107,0.3515923045435939
23,104.80614256858826,0.0007063346383225213,0.8194110082255468,0.5030158944703914,0.48954309619687225,1.8119699972647207,,,,,
24,104.9460039138794,0.000682392135024924,0.823911634253131,0.5062877492220313,0.4963176575385862,1.826517042517662,0.37810545709426713,0.9304939625205269,0.3556065011715204,0.5472356549545225,0.3331075452487736
25,102.0722918510437,0.0006579634122155991,0.8283116881494169,0.5076546245702991,0.49789191082947776,1.833858224859944,,,,,
26,80.17599558830261,0.0006331154273257479,0.823881337488139,0.49857171845656856,0.5043997685942385,1.8268528242905935,0.4013269573836819,0.9438058355223637,0.37831767567527186,0.5668137289576358,0.3553083939668618
