epoch,epoch_time_s,lr,train_gen_AR,train_gen_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
1,2.8927667140960693,0.001,0.7327188531557719,0.8113054977522955,1.5440243588553535,,,,,
2,2.328345537185669,0.000999321619703514,0.6099507358339098,0.7132321119308471,1.3231828451156615,0.33274760564621025,0.937840417854678,0.27693955702666295,0.4972398439693346,0.2211315084071156
3,2.3503737449645996,0.0009972883382072953,0.5922102610270182,0.6889694452285766,1.2811797009574042,,,,,
4,2.355435371398926,0.0009939057285945933,0.5781667470932007,0.6692356573210823,1.2474024057388307,0.3469887627729322,0.9348901584809689,0.30323556835656873,0.5137870983980354,0.2594823739402053
5,2.383270263671875,0.000989183062363234,0.5723940246635013,0.6610643645127614,1.233458391825358,,,,,
6,1.8802125453948975,0.0009831332840130888,0.5657883869277106,0.6557164662414127,1.2215048551559449,0.355143187045527,0.9359115987165142,0.31520995769300403,0.5221105047008407,0.27527672834048106
7,2.263631582260132,0.0009757729755661012,0.5619100332260132,0.6420287556118436,1.2039387941360473,,,,,
8,2.4517736434936523,0.0009671223111161149,0.5615410566329956,0.6358857658174303,1.1974268224504259,0.3515642276218621,0.9304992940076743,0.3158364800371397,0.5207240846939846,0.2801087324524173
9,2.31807017326355,0.0009572050015330875,0.5547422806421916,0.6291692786746554,1.183911559316847,,,,,
10,2.3263721466064453,0.0009460482294732422,0.554030857483546,0.6275353497929044,1.1815662039650812,0.3665387880687722,0.9399987118330826,0.332795801584109,0.5351967716671001,0.29905281509944576
11,2.340942859649658,0.0009336825748732973,0.5523100753625234,0.6258553213543362,1.1781654040018716,,,,,
12,2.3376100063323975,0.000920141931132985,0.5494527863131629,0.6207440038522084,1.1701967848671808,0.36982824749147775,0.9431778710521286,0.3374955734033801,0.5393896726196296,0.30516289931528245
13,2.165285348892212,0.0009054634122155991,0.5481748733255598,0.62129335337215,1.1694682359695434,,,,,
