epoch,train_loss,lr,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU
0,,,0.37440419864718044,0.3999343070505621,0.9511928865498247,0.5751771307491891,0.38716925284887127
1,0.2268996438891402,0.00029882903314519993,0.37363808941151067,0.38585500766426806,0.9526738411812559,0.5707223127523449,0.37974654853788936
2,0.1919932676769875,0.0002953345994276017,0.3727400198720389,0.37018064214204766,0.9533290800670553,0.5654165806937139,0.3714603310070433
3,0.20145620970584954,0.00028957180815440534,0.3746103221337028,0.35814164638371515,0.953215549412722,0.56198917264338,0.366375984258709
4,0.20032523376402606,0.00028163154198651373,0.3736111958311911,0.3633680811466175,0.9531350240861023,0.5633714336879704,0.3684896384889043
5,0.1911066792680879,0.0002716390236646797,0.3752422856686641,0.32326998309576044,0.9531767241424166,0.5505629976356138,0.34925613438221226
6,0.18496387050466048,0.0002597518411720796,0.3739409732207244,0.3591800012908318,0.9531453076325863,0.5620887607147141,0.36656048725577806
7,0.1878153514785534,0.0002461574624776804,0.37348405418139985,0.36156601445504083,0.9528933997955082,0.5626478228106496,0.36752503431822037
8,0.19257036896982468,0.00023107027905438094,0.37440974342654154,0.36450621436096114,0.9530386950413042,0.563984884276269,0.3694579788937513
9,0.1829840737392032,0.00021472822479741324,0.37439432806042466,0.36890962178834075,0.9531911664959829,0.5654983721149162,0.37165197492438273
10,0.16897497855057114,0.00019738902366467964,0.3745581637240297,0.3615900327185568,0.9532306677802594,0.5631262880742819,0.3680740982212932
11,0.17729860975471123,0.00017932612521598008,0.3747137953917213,0.3815583240690774,0.9527816470700191,0.569684588843606,0.3781360597303993
12,0.16944640434207983,0.000160824392150103,0.3744308291988419,0.37612938728989576,0.9529184597430247,0.5678262254105875,0.37528010824436886
13,0.170250795112535,0.00014217560784989694,0.37418319185503784,0.36897503424294903,0.9530825833278256,0.5654136031419376,0.37157911304899344
14,0.16539100634721804,0.0001236738747840199,0.37430765854728987,0.3650863540129319,0.9532039517853602,0.5641993214485274,0.3696970062801109
15,0.1724440251795884,0.00010561097633532034,0.3743523089311347,0.3733454685754968,0.9530228677703771,0.566906881759003,0.37384888875331573
16,0.1676563362170149,8.82717752025867e-05,0.3744057157528486,0.380935856467612,0.9527913981401497,0.5693776567868701,0.3776707861102303
17,0.16128933133902373,7.192972094561895e-05,0.374221132466802,0.3837523637729307,0.9526398547113508,0.5702044503170278,0.3789867481198663
18,0.16757793464515575,5.684253752231956e-05,0.3743021440603971,0.38391429874506516,0.9526217287905534,0.5702793905320053,0.37910822140273115
19,0.16572603628275884,4.324815882792041e-05,0.3743823791172899,0.3818992780060758,0.9527344635969401,0.569672040240102,0.37814082856168285
20,0.1549906492605985,3.1360976335320314e-05,0.37446863041422523,0.37517297943147987,0.9530152850624525,0.5675522983027191,0.3748208049228525
21,0.1570612777287305,2.1368458013486254e-05,0.3743486991675734,0.3805333786167417,0.9527786893648206,0.5692202557163785,0.3774410388921575
22,0.1668979469830785,1.3428191845594673e-05,0.3744808012323936,0.38535652750927596,0.95249832530624,0.5707785513493032,0.37991866437083477
23,0.16289662510362832,7.6654005723983e-06,0.37443183820161374,0.382452244735632,0.9526848757539047,0.5698563195637169,0.37844204146862287
24,0.16104191476075105,4.170966854800051e-06,0.37438041653632465,0.3851359576253064,0.9525418712847201,0.5706860818154503,0.37975818708081555
25,0.15811003855417843,2.9999999999999997e-06,0.37412423894820435,0.3840894391192132,0.9526376443403903,0.570283774135936,0.3791068390337088
