epoch,epoch_time_s,lr,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
1,30.83952808380127,0.0001,0.4961618401386119,,,,,
2,31.496005535125732,9.99321619703514e-05,0.4809660132284518,0.4717649108697574,0.9541505325536196,0.4421160350561791,0.6127942008886592,0.41246715924260074
3,30.280598878860474,9.972883382072952e-05,0.4747556083732181,,,,,
4,29.522068738937378,9.939057285945931e-05,0.4720854918162028,0.4805969914229723,0.955384479532202,0.4456618976309926,0.6155694249313958,0.41072680383901294
5,27.40106463432312,9.891830623632337e-05,0.4704231962009712,,,,,
6,28.463979959487915,9.831332840130886e-05,0.4703255525341741,0.4826790627596785,0.9549362384953584,0.4430882070570544,0.6137042175364891,0.40349735135443027
7,27.719987392425537,9.75772975566101e-05,0.4686156010186231,,,,,
8,28.424034595489502,9.671223111161148e-05,0.4653736703925663,0.4829612641314745,0.9554845224873008,0.4417676647293277,0.6130066173153187,0.40057406532718093
9,27.569141149520874,9.572050015330873e-05,0.4661654973471606,,,,,
10,28.41527223587036,9.46048229473242e-05,0.46364562555595684,0.48090250896735787,0.9558520254129842,0.44568873832722,0.615743167355808,0.41047496768708214
11,27.588953971862793,9.336825748732971e-05,0.46372455888324315,,,,,
12,27.976948499679565,9.201419311329847e-05,0.4623662710189819,0.4817038218968829,0.9554062009505699,0.4385724865060521,0.6108503913208914,0.39544115111522127
13,27.944728136062622,9.054634122155987e-05,0.46304099758466083,,,,,
14,26.338184356689453,8.896872509212005e-05,0.46121564816545557,0.4790591174337196,0.9553152074635125,0.437592450809133,0.6101667030272595,0.3961257841845464
15,27.956956386566162,8.7285668861131e-05,0.4602295440656168,,,,,
16,27.567656755447388,8.550178566873408e-05,0.4583407585267667,0.47589976241216286,0.9552915530240008,0.4338598105501695,0.60767039137478,0.3918198586881761
17,28.43662142753601,8.362196501476347e-05,0.45854940458580296,,,,,
18,27.28238797187805,8.165135935696695e-05,0.4600558974124767,0.479600674169134,0.9545898554420943,0.43861871444750733,0.6106090947790364,0.3976367547258806
19,27.983314990997314,7.959536998847741e-05,0.4563999557936634,,,,,
20,27.203742027282715,7.745963223324383e-05,0.45781100745554326,0.4774695960100539,0.9551173881753773,0.4378579397589896,0.6102777558977855,0.39824628350792535
21,28.447137117385864,7.524999999999999e-05,0.4563341151784967,,,,,
22,27.649794340133667,7.297252973710755e-05,0.45632222206504264,0.4761869331357199,0.9545431960137883,0.43435520428406543,0.6077512015273064,0.39252347543241095
23,28.41868495941162,7.06334638322521e-05,0.455345700846778,,,,,
24,27.594170093536377,6.823921350249236e-05,0.45463525939870764,0.4759644480128825,0.955127650512778,0.4374149017674095,0.6099858180158657,0.39886535552193647
25,28.45627999305725,6.579634122155988e-05,0.45357226045043375,,,,,
26,27.420366048812866,6.331154273257476e-05,0.45367560121748185,0.4762512846499951,0.9546632189851243,0.4342861986796817,0.6077452054481626,0.3923211127093683
27,28.220157146453857,6.079162869547906e-05,0.45399476488431295,,,,,
28,27.421178102493286,5.824350601949141e-05,0.454577276441786,0.4763144976647573,0.954077364573704,0.4302013260941574,0.6048266722540062,0.3840881545235575
29,28.19912838935852,5.567415893174883e-05,0.45249372522036235,,,,,
30,27.498639345169067,5.3090629834025695e-05,0.45245632087742843,0.47297812822707425,0.9546720564898349,0.43012782676405925,0.6049759033393177,0.3872775253010442
31,27.534847021102905,5.0499999999999994e-05,0.45215364716671136,,,,,
32,27.310558557510376,4.7909370165974273e-05,0.45054988176734356,0.47295156515137227,0.9544792969654138,0.42974247788409065,0.6046547509111984,0.386533390616809
33,28.328266620635986,4.532584106825115e-05,0.450795069888786,,,,,
