epoch,train_loss,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU
0,,0.3607201366225888,0.40788949756049775,0.9467694348015196,0.5717930229948688,0.3843048170915433
1,1.0581826395458644,0.3597042679511594,0.4095510734485337,0.9456270113177814,0.5716274509058249,0.38462767069984655
2,1.014486931429969,0.3613738438908991,0.4072904382197121,0.9479607375083567,0.5722083398729892,0.3843321410553056
3,1.0134835216734144,0.35947431260315343,0.40844387052603026,0.9458554954586963,0.5712578928626266,0.38395909156459185
4,1.0045616639984978,0.3574314432694588,0.40801335712840137,0.9428842593175831,0.5694430199051478,0.3827224001989301
5,1.0088949706819323,0.35797507668548073,0.40921328843956173,0.9445455915309025,0.5705779855519816,0.3835941825625212
6,1.0025489979320101,0.35239044518341833,0.4068205250891103,0.942698685528302,0.5673032186002769,0.37960548513626435
7,0.9999820285373264,0.3532325451178016,0.40755985431888064,0.942759899518153,0.5678507663182785,0.38039619971834115
8,1.002963415781657,0.35404481037300306,0.4084224243763161,0.946539199734659,0.5696688114946594,0.38123361737465955
9,0.9908517837524414,0.3433028869218396,0.40870031737196566,0.9445693849588556,0.5655241964175536,0.3760016021469026
10,0.9955675138367547,0.3470661502654738,0.40804667434768954,0.9483263948055745,0.5678130731395793,0.37755641230658166
11,0.9874423371420966,0.35023841048140747,0.4086535051581244,0.9436361385813845,0.5675093514069721,0.3794459578197659
12,0.9851164009835985,0.347086339161348,0.4099537589209485,0.9449434465087535,0.5673278481970166,0.3785200490411482
13,0.9778143141004775,0.34552415737536846,0.4073453601430415,0.9430155444390601,0.5652950206524899,0.37643475875920496
14,0.9777430110507541,0.34804507611233637,0.40952816549177457,0.9466251756411878,0.5680661390817662,0.3787866208020555
15,0.9723441468344795,0.3482718207052534,0.40769328723668063,0.9465568781949912,0.5675073287123085,0.37798255397096703
16,0.9613867097430759,0.3382819497576615,0.4059164004915387,0.9415211229371512,0.5619064910621171,0.3720991751246001
17,0.9585782925287882,0.32794997558540373,0.40992545500499494,0.9445397474225377,0.5608050593376455,0.36893771529519936
18,0.9564236601193746,0.33342284317480875,0.407774521634201,0.943862080894508,0.5616864819011725,0.3705986824045049
19,0.9463909771707323,0.32545580396827906,0.4079022542206531,0.9429581456156183,0.5587720679348501,0.3666790290944661
20,0.9415274673038059,0.3271654831701672,0.40720318669364697,0.9426913064648955,0.5590199921095699,0.36718433493190705
21,0.9368509703212314,0.3416684556266369,0.4088457649569632,0.9455876328190669,0.5653672844675556,0.37525711029180003
22,0.9309998300340441,0.34111732075706896,0.40642540857570486,0.9464713764488557,0.5646713685938766,0.37377136466638694
23,0.9280671397844951,0.33859622715197574,0.4072980365245121,0.9444976718328578,0.5634639785031151,0.3729471318382439
24,0.9230169998274909,0.33971295702373316,0.40655186896262074,0.9458353517449974,0.5640333925771172,0.37313241299317695
25,0.9172481762038337,0.3340656038592416,0.40722316423390503,0.9457781137183124,0.5623556272704864,0.3706443840465733
26,0.9135342306560941,0.3333278033080611,0.40667533522900673,0.9465319915796107,0.5621783767055595,0.3700015692685339
27,0.9115388737784491,0.3325260195064476,0.40723147103419954,0.9443614430717995,0.5613729778708155,0.3698787452703236
28,0.9101211137241787,0.33258334210121643,0.4075034513255615,0.9446486743236379,0.5615784892501385,0.37004339671338893
29,0.9088820854822794,0.33269156876691275,0.4077322773443452,0.944894835135274,0.561772893748844,0.370211923055629
30,0.9083480702506171,0.33291230014505274,0.40756203022655585,0.944689138358033,0.5617211562432138,0.3702371651858043
