epoch,epoch_time_s,lr,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
1,25.473979711532593,0.001,0.6037584768401252,,,,,
2,23.574673414230347,0.000999321619703514,0.5281173048196016,0.368186217948718,0.9379112291396318,0.35571262476827026,0.5497788262253908,0.3432390315878226
3,23.205050706863403,0.0009972883382072953,0.5177076752539034,,,,,
4,23.38247275352478,0.0009939057285945933,0.5114628465087325,0.38290859638482155,0.9413244400406733,0.32859066789990377,0.5328352586134936,0.274272739414986
5,21.98520541191101,0.000989183062363234,0.5072950319007591,,,,,
6,21.034008502960205,0.0009831332840130888,0.5068058062482763,0.3901406977800712,0.9442852159830486,0.3759554795731017,0.565398725043084,0.3617702613661322
7,23.855046272277832,0.0009757729755661012,0.5027999019181287,,,,,
8,22.92714810371399,0.0009671223111161149,0.49795907912430937,0.39214687105862245,0.9400136453091887,0.36791227922047454,0.5586127345833792,0.34367768738232657
9,20.874025344848633,0.0009572050015330875,0.496028357523459,,,,,
10,21.21237540245056,0.0009460482294732422,0.49211490264645336,0.4010858680454442,0.9409056417067164,0.34231574902134354,0.5418457132498012,0.2835456299972429
11,21.209203720092773,0.0009336825748732973,0.49194117828651707,,,,,
12,22.731011867523193,0.000920141931132985,0.48803121977382236,0.4101328687276081,0.9485550150503027,0.36805894867468036,0.5615576374665544,0.32598502862175255
13,23.727267026901245,0.0009054634122155991,0.487610211858043,,,,,
14,20.905150175094604,0.0008896872509212008,0.4864084387267078,0.40203789728087663,0.9484474079315606,0.3723997027410617,0.564415604471228,0.34276150820124685
15,21.07682704925537,0.0008728566886113103,0.4840094005620038,,,,,
16,19.722917795181274,0.0008550178566873412,0.4782918289855674,0.4037666139445245,0.9503589408907477,0.3861221220722708,0.5742010616784298,0.3684776302000171
17,23.290144681930542,0.000836219650147635,0.47719565806565456,,,,,
18,21.199125051498413,0.0008165135935696697,0.4753727738504056,0.40310911778439784,0.9466697176807338,0.3581707916508813,0.5543371003274987,0.31323246551736467
19,23.31313943862915,0.0007959536998847743,0.4715489941614645,,,,,
20,20.850587844848633,0.0007745963223324385,0.47118918984024616,0.39181142550143266,0.9509833183959157,0.35800274152365114,0.555662933814406,0.3241940575458696
21,21.03103280067444,0.0007525000000000001,0.46870937811003793,,,,,
22,21.128042936325073,0.0007297252973710758,0.46696978961979896,0.4087139850406597,0.9457433385441284,0.3565265116727341,0.5529321206298655,0.30433903830480846
23,21.248227834701538,0.0007063346383225213,0.4640703967324009,,,,,
24,21.184336185455322,0.000682392135024924,0.4618223448594411,0.4075747142168475,0.9472283930441953,0.370200878444356,0.5625433833109691,0.3328270426718646
25,23.31461215019226,0.0006579634122155991,0.45910388496187,,,,,
