epoch,train_loss,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU
0,,0.4130278953603308,0.47989548758705286,0.9518520622606244,0.6149251484026693,0.44646169147369186
1,0.8956926332579719,0.43000932288249716,0.477629139112815,0.9556671626619603,0.6211018748857575,0.4538192309976561
2,0.8765429655710856,0.4224448620636354,0.479556643122423,0.9531759914701662,0.6183924988854081,0.4510007525930292
3,0.8700904528299968,0.43137373197617795,0.48246192156722456,0.9550720918179193,0.6229692484537739,0.45691782677170123
4,0.8597776876555548,0.42981693555128314,0.4721413331652796,0.95714472478989,0.6197009978354843,0.4509791343582814
5,0.8600541459189521,0.429425349816601,0.48301483266175965,0.9561276140034545,0.6228559321606051,0.45622009123918034
6,0.854366440905465,0.4328441795955512,0.48749201070245385,0.9552012422304641,0.6251791441761564,0.46016809514900253
7,0.8491346504953172,0.4314158232669496,0.48405980782751346,0.9558911295229484,0.6237889202058038,0.45773781554723153
8,0.8543978598382738,0.4293269637270652,0.4854196971441129,0.9557297920870546,0.6234921509860776,0.45737333043558903
9,0.8477440463172065,0.43116082599162153,0.4878082249817878,0.9561895194837466,0.625052856819052,0.45948452548670465
10,0.8457420123947992,0.43104170354603194,0.4893331928209775,0.9547963849814843,0.6250570937828313,0.4601874481835047
11,0.8414300031132168,0.43293139293139293,0.4898020406544148,0.9539271400173268,0.6255535245343782,0.46136671679290386
12,0.8387654887305366,0.4299836387294035,0.48996107029724983,0.9556444661858904,0.6251963917375146,0.45997235451332663
13,0.8371037085851033,0.4293924918726238,0.4851898341921796,0.9567502909802045,0.6237775390150025,0.4572911630324017
14,0.8359850817256503,0.4280260735097691,0.4890820349735659,0.9536316485122195,0.6235799189985182,0.4585540542416675
15,0.8340150356292725,0.432028112883775,0.47658495993311234,0.9575458927973454,0.6220529885380776,0.45430653640844365
16,0.83228503730562,0.4315825052975512,0.4906501914355627,0.953633894532094,0.6252888637550693,0.46111634836655696
17,0.8290824651718139,0.4281155652465616,0.48859362370339326,0.9553820298409575,0.6240304062636374,0.4583545944749774
18,0.8274721476766799,0.43047540533113493,0.49068986070586174,0.9544744273831721,0.6252132311400563,0.46058263301849833
19,0.8233988788392809,0.4312001070714659,0.49032262083258216,0.9553575397375611,0.6256267558805364,0.46076136395202405
20,0.8194479425748189,0.42973292874513097,0.4919319424702819,0.9542437421063205,0.6253028711072445,0.4608324356077064
21,0.821257574028439,0.43192245727094425,0.4912168961785282,0.9536819511110393,0.6256071015201706,0.46156967672473626
22,0.8167960458331638,0.4327728672382092,0.4867230944543406,0.9569324362511787,0.6254761326479095,0.4597479808462749
23,0.8153486980332268,0.4318593645543788,0.48752487273403816,0.9565444626253007,0.6253095666379059,0.45969211864420845
24,0.8134411599900987,0.4311853447341848,0.4861172501701153,0.9569403035946937,0.624747632832998,0.45865129745215005
25,0.8122283127572801,0.4316078964561298,0.4861365276683941,0.9569426605397385,0.6248956948880875,0.4588722120622619
26,0.8126951787206862,0.43108214592013094,0.486090687861809,0.9567030430804084,0.6246252922874495,0.45858641689096996
27,0.8104855272505018,0.4297738807813834,0.48963522139252375,0.9554428758662559,0.624950659346721,0.4597045510869536
28,0.8099995096524556,0.4298583294317571,0.49010303210009926,0.9554147747932433,0.6251253787750333,0.4599806807659282
29,0.8093840055995517,0.43029453380671706,0.4889263397408585,0.9559935290289067,0.625071467525494,0.45961043677378777
30,0.8090814736154345,0.4302150598255756,0.48963685356477255,0.9556118694971224,0.6251545942958235,0.4599259566951741
