epoch,epoch_time_s,lr,train_gen_AR,train_gen_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
1,4.177299737930298,0.001,0.7937633474667867,0.9589795562956068,1.7527428944905599,,,,,
2,3.1498570442199707,0.000999321619703514,0.6036349084642199,0.8129874441358779,1.4166223658455743,0.3249340883155511,0.9435202555631468,0.16649092867386792,0.4255007043036276,0.008047769032184763
3,3.199315309524536,0.0009972883382072953,0.564244990878635,0.6319456987910801,1.196190689669715,,,,,
4,3.1246912479400635,0.0009939057285945933,0.5285542229811351,0.5727109399106768,1.1012651575936212,0.37384033948079265,0.9353043094148666,0.33569026522178025,0.5355616132861424,0.29754019096276785
5,3.1407434940338135,0.000989183062363234,0.5288236558437347,0.5935614267985027,1.1223850833045113,,,,,
6,3.079524278640747,0.0009831332840130888,0.5394838823212518,0.5841968026426103,1.1236806763543024,0.37233516157078433,0.943777407536199,0.34814997400352066,0.5466924518477468,0.3239647864362569
7,3.1126959323883057,0.0009757729755661012,0.5163100348578559,0.5505440506670211,1.0668540875116983,,,,,
8,3.249199628829956,0.0009671223111161149,0.5164926548798879,0.5487985498375363,1.065291206041972,0.36616162889811316,0.9298380219020057,0.3596584009521662,0.5497182746021126,0.3531551730062193
9,3.094871997833252,0.0009572050015330875,0.5283518075942993,0.6424760666158464,1.1708278761969673,,,,,
10,3.1603872776031494,0.0009460482294732422,0.5075612862904867,0.5396003531085121,1.0471616360876295,0.38173388150801846,0.9342012299489452,0.3544636662976227,0.5477095208480636,0.327193451087227
11,2.650134563446045,0.0009336825748732973,0.5051021920310126,0.5361123091644711,1.0412144992086623,,,,,
12,2.712026834487915,0.000920141931132985,0.5136730631192525,0.592743088139428,1.1064161618550619,0.3819170953596927,0.9370945326509944,0.3620184422726221,0.5537104723987462,0.34211978918555147
13,3.4901978969573975,0.0009054634122155991,0.5093007081084782,0.5218956973817613,1.0311964048279656,,,,,
14,3.492696523666382,0.0008896872509212008,0.49974701603253685,0.5275398426585727,1.0272868540551927,0.3932596418858014,0.9396793246775341,0.36180986121506686,0.554433015702556,0.3303600805443323
15,3.343883991241455,0.0008728566886113103,0.5013796130816142,0.5109278506702847,1.012307459778256,,,,,
16,3.4298148155212402,0.0008550178566873412,0.4912907752725813,0.5003330697615941,0.9916238480144077,0.3904962754367247,0.9465199038212146,0.35966456184158535,0.5552830091681284,0.32883284824644593
17,3.4265382289886475,0.000836219650147635,0.4893289950158861,0.49554026391771105,0.9848692655563355,,,,,
18,3.44724178314209,0.0008165135935696697,0.4986212796635098,0.4941287620200051,0.9927500486373901,0.4002101837957572,0.9477916750234651,0.38273965095003304,0.571090325641177,0.36526911810430884
19,3.5458450317382812,0.0007959536998847743,0.4866719709502326,0.4842151171631283,0.9708870887756348,,,,,
20,3.3614487648010254,0.0007745963223324385,0.48499728242556256,0.4869321505228678,0.9719294402334425,0.40183639123825554,0.9437250299799338,0.38141178976234447,0.5688495365015409,0.36098718828643334
21,3.4327242374420166,0.0007525000000000001,0.49054000245200263,0.48674757215711806,0.9772875640127394,,,,,
22,3.3811769485473633,0.0007297252973710758,0.48694473306337993,0.481451514032152,0.9683962490823533,0.3960732089067209,0.9383978135270958,0.37470066051773543,0.5625997115208555,0.35332811212875004
23,2.6956446170806885,0.0007063346383225213,0.4776644739839766,0.47310191988945005,0.950766392548879,,,,,
24,2.8262317180633545,0.000682392135024924,0.4771990034315321,0.465498067273034,0.942697078651852,0.40545746582088354,0.9443218305087967,0.38212624251955707,0.5695247718493036,0.35879501921823065
25,3.4514341354370117,0.0006579634122155991,0.4750558104779985,0.46674712631437515,0.9418029334810045,,,,,
26,3.4377405643463135,0.0006331154273257479,0.4758408592806922,0.4619757917192247,0.9378166450394525,0.4081013059976781,0.9460125304520932,0.38221302056662987,0.570146190528451,0.35632473513558166
27,3.470247268676758,0.0006079162869547909,0.4742550353209178,0.4572984245088365,0.9315534591674804,,,,,
28,3.418654680252075,0.0005824350601949144,0.47271980577045014,0.450279876920912,0.9229996853404575,0.4110288665094804,0.9473949596716971,0.3860006996690988,0.5731321196699649,0.3609725328287172
29,3.37526273727417,0.0005567415893174886,0.46942933400472003,0.44804579748047724,0.9174751308229234,,,,,
30,3.3507955074310303,0.0005309062983402573,0.46704909602801004,0.44544078840149776,0.9124898857540554,0.40661450541395344,0.9414647871796464,0.37505150899631556,0.5638559350574258,0.34348851257867763
31,3.3656954765319824,0.0005050000000000002,0.46654871967103745,0.4441526260640886,0.9107013450728523,,,,,
32,3.4176137447357178,0.00047909370165974305,0.46864172551367017,0.4584573659631941,0.9270990941259596,0.4096260579039988,0.9470330692905825,0.3827756831966691,0.5708614785613069,0.35592530848933945
33,3.460995674133301,0.00045325841068251176,0.463426896598604,0.43982649975352817,0.9032533910539415,,,,,
34,3.467167615890503,0.0004275649398050859,0.4603792991903093,0.43462207880285053,0.8950013809733921,0.4117387393332338,0.9461226663267918,0.3808060700652164,0.5692449354857415,0.3498734007971989
35,2.310701847076416,0.00040208371304520927,0.4603206608030531,0.4306493961148792,0.890970065858629,,,,,
36,2.762596368789673,0.00037688457267425244,0.4576745417382982,0.42776517801814606,0.8854397243923611,0.4115910975831577,0.9436101137657286,0.3742749245487558,0.5640533209544134,0.33695875151435395
37,2.9768190383911133,0.0003520365877844012,0.45769536097844443,0.4253361784749561,0.883031533824073,,,,,
38,3.033712863922119,0.0003276078649750765,0.4557320131195916,0.4221767094400194,0.877908722559611,0.40724371045543617,0.9406898944413958,0.37229034078621,0.5617568586712719,0.3373369711169838
39,2.8199574947357178,0.0003036653616774791,0.4531892458597819,0.4218003898859024,0.8749896354145474,,,,,
40,2.6786348819732666,0.00028027470262892445,0.4504340628782908,0.41791459752453697,0.8683486594094171,0.41364025909859187,0.9451980589515449,0.37724904769616335,0.5665653847812905,0.34085783629373484
41,3.102444887161255,0.0002575000000000002,0.44895804723103844,0.4153645505507787,0.8643225974506802,,,,,
42,3.099285125732422,0.0002354036776675618,0.4480215827624003,0.4159117837746938,0.8639333685239156,0.41215850127473186,0.9442618200165973,0.3771508528436058,0.5661878419012697,0.3421432044124797
43,3.098517656326294,0.0002140463001152259,0.447325203816096,0.4113654179705514,0.8586906207932367,,,,,
44,3.063924789428711,0.0001934864064303306,0.4453176240126292,0.4101537863413493,0.8554714110162523,0.41344373802225026,0.9448501709720017,0.37569657425606695,0.5654144398280452,0.3379494104898837
