epoch,train_loss,lr,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU
0,,,0.37440419864718044,0.3999343070505621,0.9511928865498247,0.5751771307491891,0.38716925284887127
1,0.22676468460233537,0.00029882903314519993,0.3739586187073623,0.3858563950031211,0.9526686925169728,0.5708279020758188,0.37990750685524166
2,0.19521437839795575,0.0002953345994276017,0.3742936378614645,0.3730481689880381,0.9532380495727237,0.5668599521407421,0.3736709034247513
3,0.18336014677378462,0.00028957180815440534,0.37543305976004304,0.3509363616544081,0.9534288360753291,0.5599327524965935,0.3631847107072256
4,0.1836097262907307,0.00028163154198651373,0.37497209249345026,0.3669180763397252,0.9534459581371231,0.5651120423234328,0.3709450844165877
5,0.17662323456058962,0.0002716390236646797,0.3750547142699237,0.3658255305941561,0.9532925006165079,0.5647242484935293,0.37044012243203994
6,0.17199193354673295,0.0002597518411720796,0.3749064781324845,0.35922239423967417,0.9532791870091983,0.562469353127119,0.3670644361860793
7,0.16564880084408354,0.0002461574624776804,0.3745580838962437,0.3772341839157214,0.9529323098854212,0.5682415258991288,0.37589613390598253
8,0.16803446335924996,0.00023107027905438094,0.37525280546954703,0.372452524144815,0.953155937628086,0.5669537557474827,0.37385266480718105
9,0.17445819821646896,0.00021472822479741324,0.3737730028720349,0.36794547516637777,0.9530170093466139,0.5649118291283423,0.37085923901920637
10,0.18547674136490275,0.00019738902366467964,0.3734794349271952,0.3801340882585901,0.9527315808115557,0.568781701332447,0.3768067615928926
11,0.17409060894230008,0.00017932612521598008,0.3733955858837211,0.38312438350637185,0.9525173852823893,0.5696791182241608,0.3782599846950465
12,0.1693586387786382,0.000160824392150103,0.37373188246950817,0.3741476495560516,0.9529450632886013,0.566941531771387,0.3739397660127799
13,0.1688487086318643,0.00014217560784989694,0.3731996190929651,0.3819529130296413,0.9525742191729196,0.5692422504318421,0.37757626606130323
14,0.17221516977542292,0.0001236738747840199,0.3742010151028576,0.3550390171011124,0.9532448824726638,0.5608283048922112,0.364620016101985
15,0.1604899115855004,0.00010561097633532034,0.32867820306770484,0.3554584691517119,0.9525580429364444,0.5455649050519537,0.3420683361097084
16,0.16251363853639994,8.82717752025867e-05,0.373720247235042,0.3813970171983677,0.9526838658124245,0.569267043415278,0.3775586322167048
17,0.15687153863686104,7.192972094561895e-05,0.3738685591135686,0.37699489738246605,0.9529002643023732,0.5679212402661359,0.3754317282480173
18,0.15867779552859365,5.684253752231956e-05,0.37425293793368974,0.3788580857174302,0.9528566287968376,0.5686558841493192,0.37655551182555996
19,0.16249055093192286,4.324815882792041e-05,0.3745342457956242,0.37311633104968683,0.9530937768871747,0.5669147845774952,0.3738252884226555
20,0.16406010064595491,3.1360976335320314e-05,0.37440706206120394,0.3838376320290042,0.952683737264452,0.57030947711822,0.37912234704510406
21,0.16174952551143068,2.1368458013486254e-05,0.37438659327732565,0.385629516788924,0.9525595808729044,0.5708585636463847,0.38000805503312485
22,0.16562196328168077,1.3428191845594673e-05,0.37441678257654454,0.3840696710711692,0.9526695298144315,0.570385327820715,0.37924322682385686
23,0.162744684937794,7.6654005723983e-06,0.3741973352634064,0.3817638967957482,0.95277923400686,0.5695801553553382,0.37798061602957733
24,0.16333985947427296,4.170966854800051e-06,0.37428561364577007,0.3827810612639967,0.9527112935038068,0.5699259894711912,0.3785333374548834
25,0.1604439015157498,2.9999999999999997e-06,0.374205068212404,0.3831298410088968,0.9527021043925407,0.5700123378712805,0.37866745461065043
