epoch,epoch_time_s,lr,train_gen_AR,train_gen_TC,train_sam_AR,train_sam_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU,val_sam_AR IoU,val_sam_BG IoU,val_sam_Mean FG IoU,val_sam_Mean IoU,val_sam_TC IoU
1,15.744323253631592,0.0001,0.4924474961227841,0.4598219295342763,0.7223985128932529,0.4671607851982117,2.1418287171257866,,,,,,,,,,
2,14.938623666763306,9.972883382072954e-05,0.49127577013439605,0.45757944054073757,0.7171016891797384,0.46580377486017016,2.1317606846491497,0.4016665615539859,0.9402802085463486,0.3814063022390989,0.5676976043415155,0.36114604292421193,0.3978517984026903,0.9367547099022189,0.37577835847379415,0.5627704756166024,0.35370491854489794
3,15.771840810775757,9.891830623632339e-05,0.49085939394103156,0.4561535331938002,0.7151150226593017,0.46344374550713435,2.125571693314446,,,,,,,,,,
4,16.761358737945557,9.757729755661011e-05,0.49117562903298273,0.45554619232813515,0.7088196131918165,0.46047583354843985,2.1160172621409097,0.3990780835740481,0.9382391468623825,0.3786955636325454,0.5652100913758245,0.3583130436910428,0.3938578299686505,0.9338487461019239,0.3734275293117995,0.5602346015751744,0.35299722865494854
5,16.870245456695557,9.572050015330873e-05,0.4899570577674442,0.4552679810259077,0.7063476853900486,0.4616605586475796,2.1132332775327893,,,,,,,,,,
6,17.036227703094482,9.336825748732972e-05,0.4894089135858748,0.45124246411853364,0.7043488197856479,0.4576547937260734,2.1026549922095406,0.39502340593843627,0.9360595867914733,0.3756351044258717,0.5624432652144056,0.3562468029133072,0.39147509872963504,0.932449962853535,0.37110732428443166,0.5582215371407995,0.3507395498392283
7,15.959168434143066,9.05463412215599e-05,0.4913528740406036,0.4500433491335975,0.7036892003483243,0.4568591011895074,2.101944523387485,,,,,,,,,,
8,10.654173135757446,8.728566886113101e-05,0.48884298072920906,0.44976212912135655,0.7021277401182386,0.45668502648671466,2.097417868508233,0.4028558908010234,0.9411763789838288,0.38154792742049715,0.5680907446082744,0.36023996403997094,0.39720268762203126,0.9362826829476648,0.37669368272527237,0.5632233494660698,0.35618467782851343
9,15.009277820587158,8.362196501476347e-05,0.4895325740178426,0.44869116610950893,0.6996578203307258,0.4547413547833761,2.0926229106055367,,,,,,,,,,
10,14.63142442703247,7.959536998847741e-05,0.4879289534356859,0.44688333604070873,0.6988877958721584,0.45394826001591154,2.0876483413908216,0.3985563199169224,0.9379061297911134,0.3773554252398076,0.5642056600902429,0.3561545305626928,0.39263056451441636,0.9331665686478264,0.3703721918223987,0.5579703174308747,0.3481138191303811
11,14.448509693145752,7.524999999999999e-05,0.488607343700197,0.44585376812352073,0.6970439871152242,0.4531979454888238,2.084703048070272,,,,,,,,,,
12,14.617667436599731,7.06334638322521e-05,0.48648065461052786,0.44577776988347373,0.6955788864029778,0.4521296799182892,2.0799669795566134,0.4013038190342512,0.9395352988120912,0.3795326357907922,0.5662001901312252,0.3577614525473332,0.3970658676127972,0.935257820192115,0.37482830261865485,0.5616381418098082,0.35259073762451254
13,16.015284538269043,6.579634122155988e-05,0.4882651627063751,0.44438994195726184,0.6972102920214335,0.4507043646441566,2.08056976530287,,,,,,,,,,
14,17.33187770843506,6.079162869547907e-05,0.4865356147289276,0.44477213157547846,0.694388296869066,0.452317910724216,2.078013955222236,0.4043356051349238,0.9412912470076231,0.3807684269029935,0.56760936693787,0.3572012486710633,0.39878057548186074,0.9360660194143872,0.37474955189202297,0.5618550410661444,0.35071852830218525
15,17.379050970077515,5.567415893174884e-05,0.48576630022790696,0.44369675152831606,0.6925500604841445,0.45073852870199416,2.072751662466261,,,,,,,,,,
16,17.189051866531372,5.05e-05,0.4861505316363441,0.44277323053942785,0.6925787144237094,0.4500048826138178,2.071507363849216,0.4057547107403713,0.9421645164008747,0.38143483240415477,0.568344727069728,0.3571149540679383,0.4000149665821465,0.9368764622413549,0.37670101488257446,0.5634261640021679,0.3533870631830024
17,16.324604749679565,4.532584106825115e-05,0.48755311104986404,0.4424657205740611,0.692487174934811,0.4500419894854228,2.0725479894214205,,,,,,,,,,
18,17.54825520515442,4.0208371304520894e-05,0.48788317574395074,0.4420848197407193,0.6917577293184068,0.448276984029346,2.070002720091078,0.39402084318448755,0.9351532079632496,0.3739925487041238,0.5610461017904991,0.35396425422376004,0.39176787990789513,0.9320712932026253,0.3709264132230644,0.5579747065495847,0.35008494653823374
19,15.16571569442749,3.520365877844009e-05,0.4847711576355828,0.441015182601081,0.6898057964113024,0.44800900088416207,2.0636011388566757,,,,,,,,,,
20,14.688373565673828,3.036653616774789e-05,0.4855637662940555,0.44187509417533877,0.6874580952856276,0.4488862471448051,2.0637832005818684,0.3985702493073283,0.9374556928676082,0.3763559255929195,0.5633891813511491,0.3541416018785108,0.39271781906865844,0.9330355062007273,0.3704523098672673,0.5579800419784205,0.34818680066587615
21,14.914413690567017,2.5750000000000002e-05,0.4855809774663713,0.44021976159678566,0.6890620032946269,0.44831886721981895,2.0631816095776028,,,,,,,,,,
22,14.614533185958862,2.140463001152258e-05,0.48358547422620984,0.4399372739924325,0.6863072183397081,0.44788949324025046,2.057719442579481,0.40289890472947054,0.9399369394229459,0.37908108678149677,0.5660330376619798,0.35526326883352305,0.3979247149611332,0.9352145919585108,0.3733261891376313,0.5606223234112578,0.34872766331412947
23,14.608028650283813,1.737803498523653e-05,0.4843094958199395,0.44087336725658843,0.6868793328603109,0.4482925169997745,2.060354701677958,,,,,,,,,,
24,14.686474323272705,1.3714331138868993e-05,0.4844455732239617,0.4381751904884974,0.6875242511431376,0.4460540168815189,2.0561990261077883,0.40433858724264704,0.9408760444981235,0.37993217777808147,0.5669134666847621,0.3555257683135159,0.39848780471949363,0.9356893817345391,0.3752250504682632,0.5620464942236886,0.3519622962170328
25,13.872756958007812,1.0453658778440105e-05,0.4844539496633742,0.4397096037864685,0.6860450585683187,0.4475251575311025,2.0577337900797525,,,,,,,,,,
26,14.457017183303833,7.631742512670283e-06,0.48308215075069005,0.43918800718254514,0.6850297782156203,0.4466668023003472,2.053966728846232,0.40313433547121635,0.9400235200383265,0.37918327280975184,0.5661300218859434,0.3552322101482874,0.3953985560441763,0.9344520256926693,0.37199990978505415,0.5594839484209259,0.34860126352593196
27,14.704629182815552,5.2794998466912506e-06,0.4836805946297116,0.43998795284165276,0.6861452195379469,0.4473339087433285,2.057147656546699,,,,,,,,,,
28,14.814025640487671,3.4227024433898994e-06,0.48394099407725866,0.43959663179185654,0.6853485610749986,0.44700811902681986,2.055894311269124,0.40246092183619464,0.939591865374018,0.37864031491733996,0.565624165069566,0.3548197079984853,0.39658204533925323,0.9344623920948791,0.3731218931023489,0.5602353927665257,0.34966174086544455
29,14.687450647354126,2.0816937636766182e-06,0.48368586368030975,0.43804699579874673,0.6852289120356242,0.44533767567740545,2.0522994491789075,,,,,,,,,,
30,14.740169525146484,1.2711661792704668e-06,0.48394818041059706,0.4389741082986196,0.6844061891237895,0.44684191015031605,2.0541703912946914,0.40269623580024533,0.9397479906283231,0.3787708668668822,0.5657632414540292,0.3548454979335191,0.3985765333986177,0.9353620331681524,0.37373932482302497,0.5609468942714008,0.34890211624743217
