encoder,path,prompt,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,bbox pos=0 neg=0 enlarge=-0.2,0.2502,0.2288,0.9428,0.4739,0.2395
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,point+bbox+mask pos=10 neg=5 enlarge=0.0,0.1222,0.339,0.9014,0.4542,0.2306
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,point+bbox+mask pos=10 neg=5 enlarge=0.0,0.1357,0.3471,0.9077,0.4635,0.2414
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,bbox pos=0 neg=0 enlarge=0.5,0.1837,0.2042,0.8037,0.3972,0.1939
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,bbox pos=0 neg=0 enlarge=0.5,0.1822,0.2372,0.8415,0.4203,0.2097
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,original,mask pos=0 neg=0 enlarge=0.0,0.3251,0.3568,0.9418,0.5413,0.341
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,fixed,mask pos=0 neg=0 enlarge=0.0,0.3343,0.3758,0.9391,0.5497,0.3551
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,-,CG-Net alone (baseline),0.3494,0.3817,0.9399,0.557,0.3655
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,bbox pos=0 neg=0 enlarge=0.0,0.3404,0.3758,0.9376,0.5513,0.3581
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,bbox pos=0 neg=0 enlarge=0.0,0.3423,0.375,0.9394,0.5522,0.3587
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point+bbox pos=10 neg=5 enlarge=0.0,0.343,0.356,0.93,0.543,0.3495
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point+bbox pos=10 neg=5 enlarge=0.0,0.3447,0.3602,0.9323,0.5457,0.3524
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point+bbox pos=15 neg=10 enlarge=0.0,0.3399,0.349,0.9266,0.5385,0.3444
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point+bbox pos=15 neg=10 enlarge=0.0,0.342,0.3524,0.9288,0.5411,0.3472
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,bbox pos=0 neg=0 enlarge=0.1,0.3109,0.3572,0.9231,0.5304,0.334
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,bbox pos=0 neg=0 enlarge=0.1,0.3122,0.3625,0.9265,0.5337,0.3373
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,bbox pos=0 neg=0 enlarge=-0.1,0.331,0.3355,0.9438,0.5368,0.3333
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,bbox pos=0 neg=0 enlarge=-0.1,0.3322,0.3327,0.945,0.5366,0.3325
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point pos=5 neg=10 enlarge=0.0,0.3065,0.3342,0.929,0.5232,0.3203
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point pos=5 neg=10 enlarge=0.0,0.298,0.3402,0.9321,0.5234,0.3191
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point pos=5 neg=5 enlarge=0.0,0.3047,0.338,0.9322,0.525,0.3214
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point pos=5 neg=5 enlarge=0.0,0.2996,0.3425,0.935,0.5257,0.3211
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point pos=1 neg=3 enlarge=0.0,0.3001,0.2859,0.9347,0.5069,0.293
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point pos=1 neg=3 enlarge=0.0,0.3016,0.2856,0.9361,0.5078,0.2936
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point pos=10 neg=10 enlarge=0.0,0.306,0.3297,0.9218,0.5192,0.3179
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point pos=10 neg=10 enlarge=0.0,0.3054,0.3376,0.9258,0.5229,0.3215
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point pos=1 neg=1 enlarge=0.0,0.2954,0.3214,0.9315,0.5161,0.3084
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point pos=1 neg=1 enlarge=0.0,0.297,0.3224,0.9339,0.5178,0.3097
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point pos=1 neg=2 enlarge=0.0,0.284,0.3009,0.9332,0.506,0.2924
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point pos=1 neg=2 enlarge=0.0,0.2887,0.3013,0.9352,0.5084,0.295
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point pos=2 neg=2 enlarge=0.0,0.2854,0.3226,0.9321,0.5134,0.304
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point pos=2 neg=2 enlarge=0.0,0.291,0.326,0.9347,0.5172,0.3085
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,bbox pos=0 neg=0 enlarge=0.2,0.2645,0.326,0.9044,0.4983,0.2952
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,bbox pos=0 neg=0 enlarge=0.2,0.2661,0.3343,0.9095,0.5033,0.3002
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point+bbox+mask pos=20 neg=10 enlarge=0.0,0.1292,0.2469,0.863,0.413,0.1881
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point+bbox+mask pos=20 neg=10 enlarge=0.0,0.1296,0.2352,0.852,0.4056,0.1824
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,bbox pos=0 neg=0 enlarge=0.3,0.2268,0.2918,0.8819,0.4668,0.2593
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,bbox pos=0 neg=0 enlarge=0.3,0.2279,0.3026,0.8892,0.4733,0.2653
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,bbox pos=0 neg=0 enlarge=-0.2,0.2523,0.2271,0.9412,0.4735,0.2397
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,bbox pos=0 neg=0 enlarge=-0.2,0.2494,0.2211,0.9418,0.4708,0.2353
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,point+bbox+mask pos=10 neg=5 enlarge=0.0,0.1022,0.2349,0.8436,0.3935,0.1685
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,point+bbox+mask pos=10 neg=5 enlarge=0.0,0.1129,0.2316,0.8418,0.3955,0.1723
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,bbox pos=0 neg=0 enlarge=0.5,0.1613,0.2297,0.8275,0.4061,0.1955
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,bbox pos=0 neg=0 enlarge=0.5,0.1597,0.2437,0.8416,0.415,0.2017
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,original,mask pos=0 neg=0 enlarge=0.0,0.0,0.3724,0.9409,0.4377,0.1862
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,fixed,mask pos=0 neg=0 enlarge=0.0,0.0,0.3794,0.9397,0.4397,0.1897
