epoch,train_loss,val_TC IoU,val_AR IoU,val_BG IoU,val_Mean IoU,val_Mean FG IoU
0,,0.35687696783707307,0.3933350524267683,0.9427366939284032,0.5643162380640815,0.3751060101319207
1,1.0702310085296631,0.357974819623328,0.39267950828192627,0.9443377471576475,0.5649973583543005,0.3753271639526271
2,1.0346187459097969,0.352682188434952,0.3939557937437756,0.9432082364176274,0.5632820728654516,0.37331899108936384
3,1.0266399092144436,0.35349435004570257,0.3949768578716435,0.9445624352553732,0.5643445477242398,0.37423560395867306
4,1.0166272944874233,0.3526614308951927,0.3922596434833431,0.94698629361905,0.563969122665862,0.37246053718926786
5,1.0160898791419135,0.35333702953749235,0.3975421573549501,0.9444492652802151,0.5651094840575525,0.37543959344622124
6,1.0131013300683764,0.35720489639444986,0.39693049458487467,0.9428455692799271,0.5656603200864172,0.37706769548966224
7,1.0096375756793552,0.35409409255151325,0.3977088753056071,0.9430872141359523,0.5649633939976909,0.37590148392856015
8,1.0039119442303976,0.356002831744363,0.39687781425623836,0.9465070352753729,0.5664625604253247,0.37644032300030067
9,0.9960155712233649,0.35631974417814744,0.3990714730273007,0.9435828647947326,0.5663246940000602,0.3776956086027241
10,0.9958693345387777,0.35144991664780095,0.39888897911352167,0.9436240796969626,0.5646543251527617,0.3751694478806613
11,0.9910642372237312,0.35263155709974553,0.3999527163770685,0.9434810988270502,0.5653551241012881,0.376292136738407
12,0.9852945221794976,0.35924266340784494,0.3998974533560939,0.9450598125104802,0.568066643091473,0.37957005838196944
13,0.9863381067911784,0.34276952025321994,0.3954910545328809,0.9465448945495983,0.5616018231118997,0.3691302873930504
14,0.9860305388768514,0.33423318419370607,0.3986702604110049,0.9433247698947808,0.5587427381664972,0.36645172230235545
15,0.9751515481207106,0.35323334745416884,0.3790143302978385,0.9500603823988533,0.5607693533836202,0.36612383887600364
16,0.9660138355361091,0.3513160336203459,0.3974814893937913,0.943146355610868,0.5639812928750018,0.37439876150706863
17,0.9612432400385539,0.3538520960754332,0.393633612145513,0.9454811317640994,0.5643222799950153,0.37374285411047314
18,0.9566388911671109,0.34801295627258005,0.3973771442277329,0.9444567646621437,0.5632822883874855,0.3726950502501565
19,0.9497169680065579,0.3508298160844904,0.3951048614377294,0.9477256156422493,0.564553431054823,0.3729673387611099
20,0.9453938431209988,0.351965222558425,0.3956992650054165,0.944612120574315,0.5640922027127188,0.37383224378192076
21,0.9411300778388977,0.3505253067038217,0.3955806631431863,0.943005529430458,0.563037166425822,0.373052984923504
22,0.9360667917463514,0.3525215063113491,0.39524843376529945,0.9473693163916908,0.5650464188227797,0.37388497003832427
23,0.9313442813025581,0.3555503149681834,0.3916315693976204,0.9476088364426303,0.564930240269478,0.3735909421829019
24,0.9278602944480048,0.35527855260334645,0.38757075687242776,0.9486179209261251,0.5638224101339664,0.3714246547378871
25,0.923694724506802,0.3553856755933779,0.3880834029956285,0.9480224737953717,0.5638305174614594,0.3717345392945032
26,0.9220940854814318,0.3550249268176698,0.38215221017257933,0.9487248100641371,0.5619673156847954,0.36858856849512456
27,0.916903018951416,0.3517386999969062,0.39139468365989144,0.9463553441158464,0.5631629092575481,0.37156669182839885
28,0.9153640071551005,0.3535763276504017,0.39245599437924694,0.9462034560186646,0.564078592682771,0.3730161610148243
29,0.9134070131513807,0.35443864484976445,0.38784160823488034,0.9474500004905463,0.563243417858397,0.3711401265423224
30,0.912902385658688,0.35331970123859546,0.390596945448097,0.9465665346117107,0.5634943937661344,0.3719583233433462
