encoder,study,prompt,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU
infused_mlp05,mask_format,"union {0,1}",0.0,0.909,0.9886,0.6325,0.4545
infused_mlp05,mask_format,"per-object {0,1}",0.0,0.9128,0.9888,0.6339,0.4564
infused_mlp05,mask_format,union logits +-2,0.0021,0.4991,0.9361,0.4791,0.2506
infused_mlp05,mask_format,per-object logits +-2,0.0,0.0683,0.1924,0.0869,0.0341
infused_mlp05,mask_format,union logits +-5,0.1846,0.9131,0.9898,0.6958,0.5489
infused_mlp05,mask_format,per-object logits +-5,0.166,0.8327,0.9833,0.6607,0.4993
infused_mlp05,mask_format,union logits +-10,0.225,0.9049,0.9897,0.7065,0.5649
infused_mlp05,mask_format,per-object logits +-10,0.2423,0.8671,0.9866,0.6987,0.5547
infused_mlp05,mask_format,union logits +-20,0.4608,0.8983,0.9905,0.7832,0.6795
infused_mlp05,mask_format,per-object logits +-20,0.359,0.8689,0.9874,0.7384,0.6139
infused_mlp05,mask_format,box,0.7283,0.6499,0.9727,0.7836,0.6891
infused_mlp05,mask_format,box + per-object logits +-10,0.8575,0.8696,0.9907,0.9059,0.8635
infused_mlp05,mask_format,box + union logits +-10,0.8555,0.8674,0.9904,0.9044,0.8614
infused_mlp05,degradation,box enlarge -0.3,0.2012,0.1485,0.9438,0.4312,0.1748
infused_mlp05,degradation,box enlarge -0.2,0.4304,0.3138,0.9541,0.5661,0.3721
infused_mlp05,degradation,box enlarge -0.1,0.671,0.5187,0.9667,0.7188,0.5949
infused_mlp05,degradation,box enlarge +0.0,0.7283,0.6499,0.9727,0.7836,0.6891
infused_mlp05,degradation,box enlarge +0.1,0.5805,0.5796,0.9591,0.7064,0.58
infused_mlp05,degradation,box enlarge +0.2,0.4442,0.4866,0.9386,0.6232,0.4654
infused_mlp05,degradation,box enlarge +0.3,0.3308,0.4094,0.9157,0.552,0.3701
infused_mlp05,degradation,box enlarge +0.5,0.2017,0.2976,0.8615,0.4536,0.2496
infused_mlp05,degradation,mask morph -9px,0.0978,0.7665,0.9811,0.6151,0.4321
infused_mlp05,degradation,mask morph -5px,0.1557,0.8563,0.9866,0.6662,0.506
infused_mlp05,degradation,mask morph -3px,0.1989,0.8907,0.9888,0.6928,0.5448
infused_mlp05,degradation,mask morph +0px,0.225,0.9049,0.9897,0.7065,0.5649
infused_mlp05,degradation,mask morph +3px,0.2639,0.9033,0.9896,0.7189,0.5836
infused_mlp05,degradation,mask morph +5px,0.3151,0.8838,0.9884,0.7291,0.5994
infused_mlp05,degradation,mask morph +9px,0.3999,0.8235,0.9839,0.7357,0.6117
infused_mlp05,degradation,box + 1 false boxes,0.5761,0.5815,0.9627,0.7068,0.5788
infused_mlp05,degradation,box + 3 false boxes,0.4095,0.4695,0.9405,0.6065,0.4395
infused_mlp05,degradation,box drop 25% objects,0.5532,0.5016,0.9631,0.6726,0.5274
infused_mlp05,degradation,box drop 50% objects,0.3802,0.3613,0.955,0.5655,0.3707
